Filter ID,Metric Category,Metric Name,LIFEx,UdeS,Veneto Institute of Oncology - IOV IRCCS Padua,Cardiff University,NCT Dresden
1.A,Diagnostic,Number of voxels in ROI before interpolation,125256,,,125256,125256
1.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,125238,,,125238,125238
1.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.9756,-46.97564
1.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377
1.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000
1.A,Statistics,Mean,-46.975638384516,,-46.97586994,-46.9756,-46.97564
1.A,Statistics,Variance,53338.749697957,,53338.75087,53338.7497,53338.75
1.A,Statistics,Skewness,-2.16683104266542,,-2.166827968,-2.1668,-2.16683120361036
1.A,Statistics,(Excess) kurtosis,3.64506403786339,,3.645055057,3.6451,3.64506472618102
1.A,Statistics,Median,41,,41,41,41
1.A,Statistics,Minimum,-1000,,-1000,-1000,-1000
1.A,Statistics,10th percentile,-434,,-434,-434,-434
1.A,Statistics,90th percentile,93,,93,93,93
1.A,Statistics,Maximum,377,,377,377,377
1.A,Statistics,Interquartile range,69,,69,69,69
1.A,Statistics,Range,1377,,1377,1377,1377
1.A,Statistics,Mean absolute deviation,160.089241918337,,160.0894187,160.0892,160.08925
1.A,Statistics,Robust mean absolute deviation,64.4227368932668,,64.42318395,64.4227,64.42274
1.A,Statistics,Median absolute deviation,121.743504367684,,121.7437359,121.7435,121.74351
1.A,Statistics,Coefficient of variation,-4.91641714926983,,-4.916392969,-4.9164,-4.916417
1.A,Statistics,Quartile coefficient of dispersion,1,,1,1,1
1.A,Statistics,Energy,6960000000,,6956405228,6956402357,6956402700
1.A,Statistics,Root mean square,235.680844150706,,235.6808928,235.6808,235.680849757797
1.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,,125256,125256
1.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,,357802,357802
1.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4079,,-46.4078,-46.407887
1.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,,377,377
1.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,,-997,-997
1.B,Statistics,Mean,,-46.4078,-46.40815311,-46.4078,-46.407887
1.B,Statistics,Variance,,52636.84,52636.87771,52636.8652,52636.844
1.B,Statistics,Skewness,,-2.179,-2.179385157,-2.1794,-2.17938876586772
1.B,Statistics,(Excess) kurtosis,,3.71257,3.712567069,3.7126,3.71257637425964
1.B,Statistics,Median,,41,41,41,41
1.B,Statistics,Minimum,,-997,-997,-997,-997
1.B,Statistics,10th percentile,,-427,-427,-427,-427
1.B,Statistics,90th percentile,,92,92,92,92
1.B,Statistics,Maximum,,377,377,377,377
1.B,Statistics,Interquartile range,,67,67,67,67
1.B,Statistics,Range,,1374,1374,1374,1374
1.B,Statistics,Mean absolute deviation,,158.922,158.9224811,158.9222,158.9222
1.B,Statistics,Robust mean absolute deviation,,63.59697,63.59757067,63.597,63.59697
1.B,Statistics,Median absolute deviation,,120.5447,120.5450165,120.5447,120.54472
1.B,Statistics,Coefficient of variation,,-4.9437,-4.943684818,-4.9437,-4.9437118
1.B,Statistics,Quartile coefficient of dispersion,,0.94366,0.943661972,0.94366,0.943661971830986
1.B,Statistics,Energy,,19604164608,19604184252,19604169558,19604165000
1.B,Statistics,Root mean square,,234.0738,234.073908,234.0738,234.073790678774
2.A,Diagnostic,Number of voxels in ROI before interpolation,,,,125256,125256
2.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,,,125238,125238
2.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,,,-46.9756,-46.97564
2.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,,,377,377
2.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,,,-1000,-1000
2.A,Statistics,Mean,,,-49.88217186,-49.8816,-49.881645
2.A,Statistics,Variance,,,46616.98367,46616.9379,46616.938
2.A,Statistics,Skewness,,,-2.126564632,-2.1266,-2.12657464822379
2.A,Statistics,(Excess) kurtosis,,,3.527636058,3.5277,3.5276690969187
2.A,Statistics,Median,,,38.08,38.08,38.08
2.A,Statistics,Minimum,,,-888.92,-888.92,-888.92
2.A,Statistics,10th percentile,,,-402.4,-402.364,-402.315997314453
2.A,Statistics,90th percentile,,,79.84,79.84,79.8400039672852
2.A,Statistics,Maximum,,,334.16,334.16,334.16
2.A,Statistics,Interquartile range,,,82,82,81.9900002479553
2.A,Statistics,Range,,,1223.08,1223.08,1223.08
2.A,Statistics,Mean absolute deviation,,,152.587715,152.5869,152.5869
