id_subject;id_cohort;img_data_settings_id;img_data_modality;img_data_config;img_data_noise_level;img_data_noise_iter;img_data_rotation_angle;img_data_roi_randomise_iter;img_data_roi_adapt_size;img_data_translate_x;img_data_translate_y;img_data_translate_z;img_data_voxel_size;img_data_roi;diag_img_dim_x_init_img_CT;diag_img_dim_y_init_img_CT;diag_img_dim_z_init_img_CT;diag_vox_dim_x_init_img_CT;diag_vox_dim_y_init_img_CT;diag_vox_dim_z_init_img_CT;diag_mean_int_init_img_CT;diag_min_int_init_img_CT;diag_max_int_init_img_CT;diag_int_map_dim_x_init_roi;diag_int_map_dim_y_init_roi;diag_int_map_dim_z_init_roi;diag_int_bb_dim_x_init_roi;diag_int_bb_dim_y_init_roi;diag_int_bb_dim_z_init_roi;diag_int_vox_dim_x_init_roi;diag_int_vox_dim_y_init_roi;diag_int_vox_dim_z_init_roi;diag_int_vox_count_init_roi;diag_int_mean_int_init_roi;diag_int_min_int_init_roi;diag_int_max_int_init_roi;diag_mrp_map_dim_x_init_roi;diag_mrp_map_dim_y_init_roi;diag_mrp_map_dim_z_init_roi;diag_mrp_bb_dim_x_init_roi;diag_mrp_bb_dim_y_init_roi;diag_mrp_bb_dim_z_init_roi;diag_mrp_vox_dim_x_init_roi;diag_mrp_vox_dim_y_init_roi;diag_mrp_vox_dim_z_init_roi;diag_mrp_vox_count_init_roi;diag_mrp_mean_int_init_roi;diag_mrp_min_int_init_roi;diag_mrp_max_int_init_roi;diag_img_dim_x_interp_img_CT;diag_img_dim_y_interp_img_CT;diag_img_dim_z_interp_img_CT;diag_vox_dim_x_interp_img_CT;diag_vox_dim_y_interp_img_CT;diag_vox_dim_z_interp_img_CT;diag_mean_int_interp_img_CT;diag_min_int_interp_img_CT;diag_max_int_interp_img_CT;diag_int_map_dim_x_interp_roi;diag_int_map_dim_y_interp_roi;diag_int_map_dim_z_interp_roi;diag_int_bb_dim_x_interp_roi;diag_int_bb_dim_y_interp_roi;diag_int_bb_dim_z_interp_roi;diag_int_vox_dim_x_interp_roi;diag_int_vox_dim_y_interp_roi;diag_int_vox_dim_z_interp_roi;diag_int_vox_count_interp_roi;diag_int_mean_int_interp_roi;diag_int_min_int_interp_roi;diag_int_max_int_interp_roi;diag_mrp_map_dim_x_interp_roi;diag_mrp_map_dim_y_interp_roi;diag_mrp_map_dim_z_interp_roi;diag_mrp_bb_dim_x_interp_roi;diag_mrp_bb_dim_y_interp_roi;diag_mrp_bb_dim_z_interp_roi;diag_mrp_vox_dim_x_interp_roi;diag_mrp_vox_dim_y_interp_roi;diag_mrp_vox_dim_z_interp_roi;diag_mrp_vox_count_interp_roi;diag_mrp_mean_int_interp_roi;diag_mrp_min_int_interp_roi;diag_mrp_max_int_interp_roi;diag_img_dim_x_reseg_img_CT;diag_img_dim_y_reseg_img_CT;diag_img_dim_z_reseg_img_CT;diag_vox_dim_x_reseg_img_CT;diag_vox_dim_y_reseg_img_CT;diag_vox_dim_z_reseg_img_CT;diag_mean_int_reseg_img_CT;diag_min_int_reseg_img_CT;diag_max_int_reseg_img_CT;diag_int_map_dim_x_reseg_roi;diag_int_map_dim_y_reseg_roi;diag_int_map_dim_z_reseg_roi;diag_int_bb_dim_x_reseg_roi;diag_int_bb_dim_y_reseg_roi;diag_int_bb_dim_z_reseg_roi;diag_int_vox_dim_x_reseg_roi;diag_int_vox_dim_y_reseg_roi;diag_int_vox_dim_z_reseg_roi;diag_int_vox_count_reseg_roi;diag_int_mean_int_reseg_roi;diag_int_min_int_reseg_roi;diag_int_max_int_reseg_roi;diag_mrp_map_dim_x_reseg_roi;diag_mrp_map_dim_y_reseg_roi;diag_mrp_map_dim_z_reseg_roi;diag_mrp_bb_dim_x_reseg_roi;diag_mrp_bb_dim_y_reseg_roi;diag_mrp_bb_dim_z_reseg_roi;diag_mrp_vox_dim_x_reseg_roi;diag_mrp_vox_dim_y_reseg_roi;diag_mrp_vox_dim_z_reseg_roi;diag_mrp_vox_count_reseg_roi;diag_mrp_mean_int_reseg_roi;diag_mrp_min_int_reseg_roi;diag_mrp_max_int_reseg_roi;stat_mean;stat_var;stat_skew;stat_kurt;stat_median;stat_min;stat_p10;stat_p90;stat_max;stat_iqr;stat_range;stat_mad;stat_rmad;stat_medad;stat_cov;stat_qcod;stat_energy;stat_rms
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112876;-27.05165;-973.0;336.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112876;-27.05165;-973.0;336.0;-27.05165;43491.418;-2.5375868356933107;5.531849637117952;44.0;-973.0;-319.0;90.0;336.0;55.0;1309.0;133.61276;39.911514;100.48021;-7.7091775;0.6626506024096386;4991739000.0;210.29314890542287
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.0;0.9767195476720741;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125226;-47.25231;-973.0;346.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;-47.25231;52175.9;-2.1688474031842326;3.6442639752140993;41.0;-973.0;-428.0;90.0;346.0;65.0;1319.0;158.83582;64.160934;119.82655;-4.834059;0.9154929577464789;6813381600.0;233.25668727532153
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.0;0.9767195476720741;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125243;-47.171173;-973.0;711.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.66763;-1000.0;2940.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;137994;-73.77579;-1000.0;393.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;138072;-73.42411;-1000.0;801.0;-73.77579;64515.273;-1.821847423245136;2.0965563822903235;37.0;-1000.0;-532.0;89.0;393.0;121.0;1393.0;189.79144;98.66438;145.07301;-3.4428446;11.0;9653803000.0;264.49600359731903
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;-2.0;0.0;0.25;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;98;93;26;0.9767195476720741;0.9771971138435911;3.0;112904;-27.032541;-966.0;307.0;249;247;60;98;93;26;0.9767195476720741;0.9771971138435911;3.0;112904;-27.032541;-966.0;307.0;-27.032541;43382.766;-2.5376398357873224;5.534578952128021;44.0;-966.0;-317.0;89.0;307.0;54.0;1273.0;133.5171;39.861706;100.34039;-7.7049837;0.6428571428571429;4980593000.0;210.03219412234222
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;0.0;0.0;0.25;0.0;0.9767195476720741;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125203;-47.0454;-969.0;393.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;-47.0454;51999.105;-2.171128404078322;3.657092982232614;41.0;-969.0;-428.0;89.0;393.0;65.0;1362.0;158.5349;63.99515;119.53319;-4.847087;0.9154929577464789;6787552000.0;232.83551521946225
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;2.0;0.0;0.25;0.0;0.9767195476720741;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;102;97;26;0.9767195476720741;0.9771971138435911;3.0;125220;-46.962097;-969.0;692.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.5506;-1027.0;3018.0;249;247;60;106;101;26;0.9767195476720741;0.9771971138435911;3.0;137920;-73.28386;-1000.0;398.0;249;247;60;106;101;26;0.9767195476720741;0.9771971138435911;3.0;137994;-72.95814;-1001.0;788.0;-73.28386;64151.16;-1.8259299576279906;2.1172574100217716;37.0;-1000.0;-529.0;89.0;398.0;121.0;1398.0;189.13986;98.100266;144.5226;-3.4561608;11.0;9588431000.0;263.66965199436703
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;-2.0;0.0;0.5;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112941;-27.188337;-988.0;369.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112941;-27.188337;-988.0;369.0;-27.188337;43513.49;-2.5364171970141913;5.523964888679815;43.0;-988.0;-318.0;89.0;369.0;54.0;1357.0;133.77296;39.891624;100.429596;-7.6723657;0.6428571428571429;4997943300.0;210.36323841908478
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;0.0;0.0;0.5;0.0;0.9767195476720741;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125219;-47.31508;-988.0;397.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;-47.31508;52168.42;-2.1680126685848364;3.638256636915753;41.0;-988.0;-429.0;89.0;397.0;65.0;1385.0;158.90164;64.269905;119.716675;-4.8273;0.9154929577464789;6812806700.0;233.25336429046135
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;2.0;0.0;0.5;0.0;0.9767195476720741;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125234;-47.241196;-988.0;708.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.43463;-1048.0;2888.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;137904;-73.57337;-999.0;397.0;249;247;60;106;102;26;0.9767195476720741;0.9771971138435911;3.0;137980;-73.24923;-1001.0;797.0;-73.57337;64384.35;-1.8247156885733236;2.1085538572774185;37.0;-999.0;-531.0;89.0;397.0;121.0;1396.0;189.53815;98.43355;144.74573;-3.448812;11.0;9625340000.0;264.1919654216235
phantom;;1.A;CT;1.A;-1.0;0;-15.0;-1;-2.0;0.0;0.75;0.0;0.9767195476720741;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.31775;-1037.0;2712.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125219;-47.400593;-988.0;716.0;249;247;60;102;98;26;0.9767195476720741;0.9771971138435911;3.0;125219;-47.400593;-988.0;716.0;249;247;60;0.9767195476720741;0.9771971138435911;3.0;-347.31775;-1037.0;2712.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112896;-27.15424;-988.0;358.0;249;247;60;98;94;26;0.9767195476720741;0.9771971138435911;3.0;112896;-27.15424;-988.0;358.0;-27.15424;43542.414;-2.536636702613291;5.5243043647959755;44.0;-988.0;-320.0;90.0;358.0;54.0;1346.0;133.75449;39.903;100.49388;-7.684553;0.6428571428571429;4999008000.0;210.42757464822807
