id_subject;id_cohort;img_data_settings_id;img_data_modality;img_data_config;img_data_noise_level;img_data_noise_iter;img_data_rotation_angle;img_data_roi_randomise_iter;img_data_roi_adapt_size;img_data_translate_x;img_data_translate_y;img_data_translate_z;img_data_voxel_size;img_data_roi;diag_img_dim_x_init_img_CT;diag_img_dim_y_init_img_CT;diag_img_dim_z_init_img_CT;diag_vox_dim_x_init_img_CT;diag_vox_dim_y_init_img_CT;diag_vox_dim_z_init_img_CT;diag_mean_int_init_img_CT;diag_min_int_init_img_CT;diag_max_int_init_img_CT;diag_int_map_dim_x_init_roi;diag_int_map_dim_y_init_roi;diag_int_map_dim_z_init_roi;diag_int_bb_dim_x_init_roi;diag_int_bb_dim_y_init_roi;diag_int_bb_dim_z_init_roi;diag_int_vox_dim_x_init_roi;diag_int_vox_dim_y_init_roi;diag_int_vox_dim_z_init_roi;diag_int_vox_count_init_roi;diag_int_mean_int_init_roi;diag_int_min_int_init_roi;diag_int_max_int_init_roi;diag_mrp_map_dim_x_init_roi;diag_mrp_map_dim_y_init_roi;diag_mrp_map_dim_z_init_roi;diag_mrp_bb_dim_x_init_roi;diag_mrp_bb_dim_y_init_roi;diag_mrp_bb_dim_z_init_roi;diag_mrp_vox_dim_x_init_roi;diag_mrp_vox_dim_y_init_roi;diag_mrp_vox_dim_z_init_roi;diag_mrp_vox_count_init_roi;diag_mrp_mean_int_init_roi;diag_mrp_min_int_init_roi;diag_mrp_max_int_init_roi;diag_img_dim_x_interp_img_CT;diag_img_dim_y_interp_img_CT;diag_img_dim_z_interp_img_CT;diag_vox_dim_x_interp_img_CT;diag_vox_dim_y_interp_img_CT;diag_vox_dim_z_interp_img_CT;diag_mean_int_interp_img_CT;diag_min_int_interp_img_CT;diag_max_int_interp_img_CT;diag_int_map_dim_x_interp_roi;diag_int_map_dim_y_interp_roi;diag_int_map_dim_z_interp_roi;diag_int_bb_dim_x_interp_roi;diag_int_bb_dim_y_interp_roi;diag_int_bb_dim_z_interp_roi;diag_int_vox_dim_x_interp_roi;diag_int_vox_dim_y_interp_roi;diag_int_vox_dim_z_interp_roi;diag_int_vox_count_interp_roi;diag_int_mean_int_interp_roi;diag_int_min_int_interp_roi;diag_int_max_int_interp_roi;diag_mrp_map_dim_x_interp_roi;diag_mrp_map_dim_y_interp_roi;diag_mrp_map_dim_z_interp_roi;diag_mrp_bb_dim_x_interp_roi;diag_mrp_bb_dim_y_interp_roi;diag_mrp_bb_dim_z_interp_roi;diag_mrp_vox_dim_x_interp_roi;diag_mrp_vox_dim_y_interp_roi;diag_mrp_vox_dim_z_interp_roi;diag_mrp_vox_count_interp_roi;diag_mrp_mean_int_interp_roi;diag_mrp_min_int_interp_roi;diag_mrp_max_int_interp_roi;diag_img_dim_x_reseg_img_CT;diag_img_dim_y_reseg_img_CT;diag_img_dim_z_reseg_img_CT;diag_vox_dim_x_reseg_img_CT;diag_vox_dim_y_reseg_img_CT;diag_vox_dim_z_reseg_img_CT;diag_mean_int_reseg_img_CT;diag_min_int_reseg_img_CT;diag_max_int_reseg_img_CT;diag_int_map_dim_x_reseg_roi;diag_int_map_dim_y_reseg_roi;diag_int_map_dim_z_reseg_roi;diag_int_bb_dim_x_reseg_roi;diag_int_bb_dim_y_reseg_roi;diag_int_bb_dim_z_reseg_roi;diag_int_vox_dim_x_reseg_roi;diag_int_vox_dim_y_reseg_roi;diag_int_vox_dim_z_reseg_roi;diag_int_vox_count_reseg_roi;diag_int_mean_int_reseg_roi;diag_int_min_int_reseg_roi;diag_int_max_int_reseg_roi;diag_mrp_map_dim_x_reseg_roi;diag_mrp_map_dim_y_reseg_roi;diag_mrp_map_dim_z_reseg_roi;diag_mrp_bb_dim_x_reseg_roi;diag_mrp_bb_dim_y_reseg_roi;diag_mrp_bb_dim_z_reseg_roi;diag_mrp_vox_dim_x_reseg_roi;diag_mrp_vox_dim_y_reseg_roi;diag_mrp_vox_dim_z_reseg_roi;diag_mrp_vox_count_reseg_roi;diag_mrp_mean_int_reseg_roi;diag_mrp_min_int_reseg_roi;diag_mrp_max_int_reseg_roi;laws_l5e5e5_energy_delta_7_invar_stat_mean;laws_l5e5e5_energy_delta_7_invar_stat_var;laws_l5e5e5_energy_delta_7_invar_stat_skew;laws_l5e5e5_energy_delta_7_invar_stat_kurt;laws_l5e5e5_energy_delta_7_invar_stat_median;laws_l5e5e5_energy_delta_7_invar_stat_min;laws_l5e5e5_energy_delta_7_invar_stat_p10;laws_l5e5e5_energy_delta_7_invar_stat_p90;laws_l5e5e5_energy_delta_7_invar_stat_max;laws_l5e5e5_energy_delta_7_invar_stat_iqr;laws_l5e5e5_energy_delta_7_invar_stat_range;laws_l5e5e5_energy_delta_7_invar_stat_mad;laws_l5e5e5_energy_delta_7_invar_stat_rmad;laws_l5e5e5_energy_delta_7_invar_stat_medad;laws_l5e5e5_energy_delta_7_invar_stat_cov;laws_l5e5e5_energy_delta_7_invar_stat_qcod;laws_l5e5e5_energy_delta_7_invar_stat_energy;laws_l5e5e5_energy_delta_7_invar_stat_rms
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.0;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;115.745415;8318.182;0.8303109455628833;-0.3446526769966862;81.33699;23.117899;29.596807098388673;250.72628479003913;467.31134;153.33541870117188;444.19345;78.82257;63.068024;75.90971;0.78797126;0.6911144966516436;6572686000.0;147.36071711507125
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.0;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358485;-47.181786;-984.0;400.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;130.98412;9943.381;0.6531155595181326;-0.6865862311112525;103.79281;23.117899;30.111748886108398;272.84739379882814;481.1778;176.67955780029297;458.0599;87.28082;71.44361;85.71967;0.761287;0.7141014711893184;9715024000.0;164.6214572862843
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.0;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;103;100;82;1.0;1.0;1.0;419609;-80.89175;-1000.0;400.0;244;242;180;103;100;82;1.0;1.0;1.0;419843;-80.59368;-1034.0;835.0;144.56567;11268.215;0.5103419394363894;-0.9019821782280832;126.883484;23.117899;30.59263343811035;292.3837036132812;487.60873;195.4661521911621;464.49084;93.46723;77.453125;92.85824;0.7342811;0.7257954793414646;13497747000.0;179.3528374405928
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.25;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;116.37857;8378.16;0.8208015242369661;-0.36334958511040094;82.32201;23.105795;29.577410316467287;251.49895172119145;467.29514;154.45869541168213;444.18933;79.17045;63.43849;76.337746;0.7865046;0.6924185390292327;6626447400.0;148.06125163834713
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.25;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357855;-48.624733;-988.0;400.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;131.50204;9976.621;0.645075257283601;-0.6983009306202543;104.8627;23.105795;30.092453384399413;273.2917785644532;480.24;177.33371543884277;457.1342;87.465645;71.6528;85.971565;0.759555;0.7145265783365197;9758492000.0;165.13449496683805
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.25;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;103;99;82;1.0;1.0;1.0;418590;-82.04629;-1000.0;400.0;244;242;180;103;99;82;1.0;1.0;1.0;418818;-81.7525;-1036.0;846.0;144.92426;11274.775;0.5043681402812714;-0.9078201383955706;127.73001;23.105795;30.56825942993164;292.5623199462891;487.47;195.74113750457764;464.3642;93.50119;77.50411;92.93186;0.7326775;0.7255669596050092;13511169000.0;179.6602662825817
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.5;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;116.396065;8405.57;0.8234357955015471;-0.36102064724790894;82.10865;23.078074;29.6134521484375;251.77202911376972;464.82053;154.6189603805542;441.74246;79.29263;63.514076;76.41295;0.7876718;0.692762657244042;6761098000.0;148.16751818593087
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.5;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362795;-48.153145;-980.0;396.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;130.9337;9953.437;0.6550593836789994;-0.683003796439499;103.52444;23.078074;30.114552307128907;272.8544006347657;479.04367;176.6838150024414;455.9656;87.32222;71.46673;85.74364;0.76196516;0.714415377938191;9830686000.0;164.61191189098332
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.5;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;103;99;83;1.0;1.0;1.0;422263;-80.52959;-1000.0;398.0;244;242;180;103;99;83;1.0;1.0;1.0;422490;-80.245865;-1036.0;816.0;143.89882;11235.195;0.5191105873300913;-0.8914876413334216;125.41195;23.078074;30.56744842529297;291.66051635742184;486.98178;194.72261810302734;463.90372;93.31568;77.28901;92.65613;0.7366023;0.7260259336396147;13487951000.0;178.72342268028646
phantom;;4.B;CT;4.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.75;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;115.219666;8270.906;0.8380625112747169;-0.3294206677899352;80.59858;23.105341;29.578668212890626;250.12781982421876;466.3795;152.42797470092773;443.27414;78.543625;62.763546;75.56615;0.78931427;0.6900997001946033;6538042400.0;146.78719316316574
