id_subject;id_cohort;img_data_settings_id;img_data_modality;img_data_config;img_data_noise_level;img_data_noise_iter;img_data_rotation_angle;img_data_roi_randomise_iter;img_data_roi_adapt_size;img_data_translate_x;img_data_translate_y;img_data_translate_z;img_data_voxel_size;img_data_roi;diag_img_dim_x_init_img_CT;diag_img_dim_y_init_img_CT;diag_img_dim_z_init_img_CT;diag_vox_dim_x_init_img_CT;diag_vox_dim_y_init_img_CT;diag_vox_dim_z_init_img_CT;diag_mean_int_init_img_CT;diag_min_int_init_img_CT;diag_max_int_init_img_CT;diag_int_map_dim_x_init_roi;diag_int_map_dim_y_init_roi;diag_int_map_dim_z_init_roi;diag_int_bb_dim_x_init_roi;diag_int_bb_dim_y_init_roi;diag_int_bb_dim_z_init_roi;diag_int_vox_dim_x_init_roi;diag_int_vox_dim_y_init_roi;diag_int_vox_dim_z_init_roi;diag_int_vox_count_init_roi;diag_int_mean_int_init_roi;diag_int_min_int_init_roi;diag_int_max_int_init_roi;diag_mrp_map_dim_x_init_roi;diag_mrp_map_dim_y_init_roi;diag_mrp_map_dim_z_init_roi;diag_mrp_bb_dim_x_init_roi;diag_mrp_bb_dim_y_init_roi;diag_mrp_bb_dim_z_init_roi;diag_mrp_vox_dim_x_init_roi;diag_mrp_vox_dim_y_init_roi;diag_mrp_vox_dim_z_init_roi;diag_mrp_vox_count_init_roi;diag_mrp_mean_int_init_roi;diag_mrp_min_int_init_roi;diag_mrp_max_int_init_roi;diag_img_dim_x_interp_img_CT;diag_img_dim_y_interp_img_CT;diag_img_dim_z_interp_img_CT;diag_vox_dim_x_interp_img_CT;diag_vox_dim_y_interp_img_CT;diag_vox_dim_z_interp_img_CT;diag_mean_int_interp_img_CT;diag_min_int_interp_img_CT;diag_max_int_interp_img_CT;diag_int_map_dim_x_interp_roi;diag_int_map_dim_y_interp_roi;diag_int_map_dim_z_interp_roi;diag_int_bb_dim_x_interp_roi;diag_int_bb_dim_y_interp_roi;diag_int_bb_dim_z_interp_roi;diag_int_vox_dim_x_interp_roi;diag_int_vox_dim_y_interp_roi;diag_int_vox_dim_z_interp_roi;diag_int_vox_count_interp_roi;diag_int_mean_int_interp_roi;diag_int_min_int_interp_roi;diag_int_max_int_interp_roi;diag_mrp_map_dim_x_interp_roi;diag_mrp_map_dim_y_interp_roi;diag_mrp_map_dim_z_interp_roi;diag_mrp_bb_dim_x_interp_roi;diag_mrp_bb_dim_y_interp_roi;diag_mrp_bb_dim_z_interp_roi;diag_mrp_vox_dim_x_interp_roi;diag_mrp_vox_dim_y_interp_roi;diag_mrp_vox_dim_z_interp_roi;diag_mrp_vox_count_interp_roi;diag_mrp_mean_int_interp_roi;diag_mrp_min_int_interp_roi;diag_mrp_max_int_interp_roi;diag_img_dim_x_reseg_img_CT;diag_img_dim_y_reseg_img_CT;diag_img_dim_z_reseg_img_CT;diag_vox_dim_x_reseg_img_CT;diag_vox_dim_y_reseg_img_CT;diag_vox_dim_z_reseg_img_CT;diag_mean_int_reseg_img_CT;diag_min_int_reseg_img_CT;diag_max_int_reseg_img_CT;diag_int_map_dim_x_reseg_roi;diag_int_map_dim_y_reseg_roi;diag_int_map_dim_z_reseg_roi;diag_int_bb_dim_x_reseg_roi;diag_int_bb_dim_y_reseg_roi;diag_int_bb_dim_z_reseg_roi;diag_int_vox_dim_x_reseg_roi;diag_int_vox_dim_y_reseg_roi;diag_int_vox_dim_z_reseg_roi;diag_int_vox_count_reseg_roi;diag_int_mean_int_reseg_roi;diag_int_min_int_reseg_roi;diag_int_max_int_reseg_roi;diag_mrp_map_dim_x_reseg_roi;diag_mrp_map_dim_y_reseg_roi;diag_mrp_map_dim_z_reseg_roi;diag_mrp_bb_dim_x_reseg_roi;diag_mrp_bb_dim_y_reseg_roi;diag_mrp_bb_dim_z_reseg_roi;diag_mrp_vox_dim_x_reseg_roi;diag_mrp_vox_dim_y_reseg_roi;diag_mrp_vox_dim_z_reseg_roi;diag_mrp_vox_count_reseg_roi;diag_mrp_mean_int_reseg_roi;diag_mrp_min_int_reseg_roi;diag_mrp_max_int_reseg_roi;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_mean;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_var;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_skew;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_kurt;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_median;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_min;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_p10;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_p90;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_max;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_iqr;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_range;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_mad;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_rmad;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_medad;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_cov;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_qcod;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_energy;gabor_s_5.0_g_1.5_l_2.0_3D_invar_stat_rms
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.0;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;21.91366335456848;58.25392183381052;1.5976548744435213;5.012874353690119;20.409687025361972;6.036870188491478;14.041155021856229;31.578844735538453;105.58243269803529;8.686996533979169;99.54556250954381;5.667425066939744;3.6794316683559543;5.528558602351657;0.34829528779800073;0.20646069679725115;162980233.31770924;23.204796130351333
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.0;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358485;-47.181786;-984.0;400.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;22.709343270896458;67.62260728245823;1.5511761835765705;4.371073309545565;21.016946666867607;6.036870188491478;14.246883925362967;33.19359704010963;105.58243269803529;9.417078205552105;99.54556250954381;6.130789310176745;3.9841302976429946;5.970766037161111;0.36211071895863695;0.21637877924704035;209117521.0962297;24.15236798075643
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.0;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;103;100;82;1.0;1.0;1.0;419609;-80.89175;-1000.0;400.0;244;242;180;103;100;82;1.0;1.0;1.0;419843;-80.59368;-1034.0;835.0;23.466668500636224;75.07864308403423;1.4765996878330307;3.8316958614904673;21.672121800376615;6.036870188491478;14.485107894070289;34.624923154597425;106.20408728648873;10.142273100815189;100.16721709799725;6.5159483710424535;4.2755556064048905;6.347766459354379;0.3692383223700483;0.22531647523814838;262575859.51229173;25.01525881542677
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.25;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;21.60890594475067;56.68065625421844;1.599867114786849;5.061124392708182;20.13458972838548;6.1521830996793385;13.833653101172443;31.111625057940497;103.83132369773837;8.5569698548674;97.67914059805904;5.5861377270270856;3.6229220533432467;5.450323390407439;0.3484052220422957;0.20611476165937015;158277318.78824475;22.882864164769664
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.25;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357855;-48.624733;-988.0;400.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;22.364656384138726;65.5437660288549;1.5611588193344124;4.453364800173111;20.70989673729866;6.1521830996793385;14.030994339532723;32.665990815302905;103.83132369773837;9.222368957353218;97.67914059805904;6.026470500281473;3.908391565965064;5.869087600049772;0.36199574506466625;0.2151336739919806;202446310.7579084;23.78490322051893
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.25;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;103;99;82;1.0;1.0;1.0;418590;-82.04629;-1000.0;400.0;244;242;180;103;99;82;1.0;1.0;1.0;418818;-81.7525;-1036.0;846.0;23.086332897340753;72.75857009027565;1.4897338940405882;3.9138939802553008;21.314204901877652;6.1521830996793385;14.25299849579735;34.05735564787481;103.83132369773837;9.909477257088014;97.67914059805904;6.402638736491543;4.189983986594529;6.236210083730037;0.36947675775709954;0.22383551174975486;253555591.78478843;24.611731689117565
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.5;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;21.235817318337652;54.69002265415175;1.6170850913030215;5.211876110467337;19.81260902128909;5.472825990229642;13.595052219678252;30.516223430624784;102.18368488630118;8.37874641717984;96.71085889607154;5.474358720060266;3.5431326039278956;5.342941932309852;0.34824514538806006;0.2052765647013944;155726029.42936882;22.486661820554012
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.5;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362795;-48.153145;-980.0;396.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;21.89838282791606;62.54940406250141;1.5857536627557052;4.660105946217705;20.30297919958693;5.272948127890562;13.77189715457241;31.87841590620442;102.18368488630118;8.964387878093117;96.91073675841062;5.870421611102096;3.797970943585791;5.718956309471146;0.3611599168125277;0.21353810955535846;196667024.4004099;23.28279567707603
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.5;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;103;99;83;1.0;1.0;1.0;422263;-80.52959;-1000.0;398.0;244;242;180;103;99;83;1.0;1.0;1.0;422490;-80.245865;-1036.0;816.0;22.547249011791447;68.92010941131616;1.5220380515421428;4.137621644602372;20.835175972026533;5.272948127890562;13.985812855525733;33.13427971150436;103.3816116639278;9.557385957498326;98.10866353603724;6.20570545641305;4.043129232017012;6.044595922250791;0.3681962982477911;0.2211338221849403;243771816.5254306;24.02703784096255
phantom;;5.B;CT;5.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.75;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;21.621024336136532;56.395756166188264;1.5991231008831988;5.028395256037184;20.16033367727577;6.282656485022333;13.864483275453171;31.1020960883761;103.55243141382607;8.525462355856678;97.26977492880374;5.568574989862532;3.608618905579172;5.434391000690562;0.34733371899329996;0.20531112653857508;158960904.69486383;22.888085317693058
