id_subject;id_cohort;img_data_settings_id;img_data_modality;img_data_config;img_data_noise_level;img_data_noise_iter;img_data_rotation_angle;img_data_roi_randomise_iter;img_data_roi_adapt_size;img_data_translate_x;img_data_translate_y;img_data_translate_z;img_data_voxel_size;img_data_roi;diag_img_dim_x_init_img_CT;diag_img_dim_y_init_img_CT;diag_img_dim_z_init_img_CT;diag_vox_dim_x_init_img_CT;diag_vox_dim_y_init_img_CT;diag_vox_dim_z_init_img_CT;diag_mean_int_init_img_CT;diag_min_int_init_img_CT;diag_max_int_init_img_CT;diag_int_map_dim_x_init_roi;diag_int_map_dim_y_init_roi;diag_int_map_dim_z_init_roi;diag_int_bb_dim_x_init_roi;diag_int_bb_dim_y_init_roi;diag_int_bb_dim_z_init_roi;diag_int_vox_dim_x_init_roi;diag_int_vox_dim_y_init_roi;diag_int_vox_dim_z_init_roi;diag_int_vox_count_init_roi;diag_int_mean_int_init_roi;diag_int_min_int_init_roi;diag_int_max_int_init_roi;diag_mrp_map_dim_x_init_roi;diag_mrp_map_dim_y_init_roi;diag_mrp_map_dim_z_init_roi;diag_mrp_bb_dim_x_init_roi;diag_mrp_bb_dim_y_init_roi;diag_mrp_bb_dim_z_init_roi;diag_mrp_vox_dim_x_init_roi;diag_mrp_vox_dim_y_init_roi;diag_mrp_vox_dim_z_init_roi;diag_mrp_vox_count_init_roi;diag_mrp_mean_int_init_roi;diag_mrp_min_int_init_roi;diag_mrp_max_int_init_roi;diag_img_dim_x_interp_img_CT;diag_img_dim_y_interp_img_CT;diag_img_dim_z_interp_img_CT;diag_vox_dim_x_interp_img_CT;diag_vox_dim_y_interp_img_CT;diag_vox_dim_z_interp_img_CT;diag_mean_int_interp_img_CT;diag_min_int_interp_img_CT;diag_max_int_interp_img_CT;diag_int_map_dim_x_interp_roi;diag_int_map_dim_y_interp_roi;diag_int_map_dim_z_interp_roi;diag_int_bb_dim_x_interp_roi;diag_int_bb_dim_y_interp_roi;diag_int_bb_dim_z_interp_roi;diag_int_vox_dim_x_interp_roi;diag_int_vox_dim_y_interp_roi;diag_int_vox_dim_z_interp_roi;diag_int_vox_count_interp_roi;diag_int_mean_int_interp_roi;diag_int_min_int_interp_roi;diag_int_max_int_interp_roi;diag_mrp_map_dim_x_interp_roi;diag_mrp_map_dim_y_interp_roi;diag_mrp_map_dim_z_interp_roi;diag_mrp_bb_dim_x_interp_roi;diag_mrp_bb_dim_y_interp_roi;diag_mrp_bb_dim_z_interp_roi;diag_mrp_vox_dim_x_interp_roi;diag_mrp_vox_dim_y_interp_roi;diag_mrp_vox_dim_z_interp_roi;diag_mrp_vox_count_interp_roi;diag_mrp_mean_int_interp_roi;diag_mrp_min_int_interp_roi;diag_mrp_max_int_interp_roi;diag_img_dim_x_reseg_img_CT;diag_img_dim_y_reseg_img_CT;diag_img_dim_z_reseg_img_CT;diag_vox_dim_x_reseg_img_CT;diag_vox_dim_y_reseg_img_CT;diag_vox_dim_z_reseg_img_CT;diag_mean_int_reseg_img_CT;diag_min_int_reseg_img_CT;diag_max_int_reseg_img_CT;diag_int_map_dim_x_reseg_roi;diag_int_map_dim_y_reseg_roi;diag_int_map_dim_z_reseg_roi;diag_int_bb_dim_x_reseg_roi;diag_int_bb_dim_y_reseg_roi;diag_int_bb_dim_z_reseg_roi;diag_int_vox_dim_x_reseg_roi;diag_int_vox_dim_y_reseg_roi;diag_int_vox_dim_z_reseg_roi;diag_int_vox_count_reseg_roi;diag_int_mean_int_reseg_roi;diag_int_min_int_reseg_roi;diag_int_max_int_reseg_roi;diag_mrp_map_dim_x_reseg_roi;diag_mrp_map_dim_y_reseg_roi;diag_mrp_map_dim_z_reseg_roi;diag_mrp_bb_dim_x_reseg_roi;diag_mrp_bb_dim_y_reseg_roi;diag_mrp_bb_dim_z_reseg_roi;diag_mrp_vox_dim_x_reseg_roi;diag_mrp_vox_dim_y_reseg_roi;diag_mrp_vox_dim_z_reseg_roi;diag_mrp_vox_count_reseg_roi;diag_mrp_mean_int_reseg_roi;diag_mrp_min_int_reseg_roi;diag_mrp_max_int_reseg_roi;wavelet_simoncelli_level_1_stat_mean;wavelet_simoncelli_level_1_stat_var;wavelet_simoncelli_level_1_stat_skew;wavelet_simoncelli_level_1_stat_kurt;wavelet_simoncelli_level_1_stat_median;wavelet_simoncelli_level_1_stat_min;wavelet_simoncelli_level_1_stat_p10;wavelet_simoncelli_level_1_stat_p90;wavelet_simoncelli_level_1_stat_max;wavelet_simoncelli_level_1_stat_iqr;wavelet_simoncelli_level_1_stat_range;wavelet_simoncelli_level_1_stat_mad;wavelet_simoncelli_level_1_stat_rmad;wavelet_simoncelli_level_1_stat_medad;wavelet_simoncelli_level_1_stat_cov;wavelet_simoncelli_level_1_stat_qcod;wavelet_simoncelli_level_1_stat_energy;wavelet_simoncelli_level_1_stat_rms
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.0;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;244;242;180;95;91;74;1.0;1.0;1.0;302677;-18.813253;-972.0;240.0;-0.0075797680546603055;1025.0770682426348;-0.030922691028282188;9.458724991217043;-0.15267821378377278;-346.3790970746545;-26.389737153826136;25.962280119128224;313.82703029537925;19.48783564614613;660.2061273700338;18.78437189760074;8.725825166503508;18.783767393683533;-4223.98476277822;-65.6003607677349;310267269.1741424;32.01682566550779
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.0;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358485;-47.181786;-984.0;400.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;0.2759943385226167;1380.8923698268597;-0.08887695181281396;7.381863837291174;-0.004181121994337289;-346.3790970746545;-32.30962519383579;33.93991895368678;351.623820513154;21.788002902514513;698.0029175878085;22.135654438894107;10.137894813539384;22.133539376100522;134.64174806621386;217.35969144328388;495056508.0304391;37.1613851020351
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.0;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;99;96;78;1.0;1.0;1.0;358525;-47.118484;-984.0;674.0;244;242;180;1.0;1.0;1.0;-348.6633;-1100.0;2761.0;244;242;180;103;100;82;1.0;1.0;1.0;419609;-80.89175;-1000.0;400.0;244;242;180;103;100;82;1.0;1.0;1.0;419843;-80.59368;-1034.0;835.0;-0.32464442198355187;1707.9599191093507;-0.20579110369804574;6.006809889129711;-0.11525682690619021;-368.9424173698725;-39.462347022979074;39.38987624981434;351.623820513154;24.1316299185013;720.5662378830265;25.05213109102882;11.57852382415118;25.051024807069993;-127.30072943077072;-86.70393439846069;716719577.9688059;41.32874681272197
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.25;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;244;242;180;95;91;74;1.0;1.0;1.0;302272;-20.336882;-979.0;245.0;0.010346789513271188;1034.748763531001;-0.02580904806222232;9.360506531800606;-0.13664654609595317;-313.7515570333869;-26.638162254382387;26.28493800297434;318.06626121008924;19.540585426873733;631.8178182434762;18.886798185222382;8.76893802321851;18.886159209425063;3108.9364437596055;-62.91918473756811;312775610.6100901;32.167512657758515
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.25;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357855;-48.624733;-988.0;400.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;0.28462367147848566;1388.7330541691006;-0.08712388308205922;7.310350340781449;-0.0011521339644495754;-346.701282265092;-32.51889534933124;34.129727255368664;334.9150564547806;21.862735617185184;681.6163387198726;22.221927620156617;10.18622247805501;22.21978205497688;130.92975939284807;204.30166394794935;496994057.16024446;37.266795741027515
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.25;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;99;95;78;1.0;1.0;1.0;357895;-48.561306;-988.0;647.0;244;242;180;1.0;1.0;1.0;-348.991;-1110.0;2731.0;244;242;180;103;99;82;1.0;1.0;1.0;418590;-82.04629;-1000.0;400.0;244;242;180;103;99;82;1.0;1.0;1.0;418818;-81.7525;-1036.0;846.0;-0.32901174398400373;1713.6518965562848;-0.20644177653144505;5.98127163949637;-0.09945141466015661;-372.2003974711416;-39.624598918125955;39.542460683814255;334.9150564547806;24.188347615140934;707.1154539259222;25.106939485753696;11.613062642031743;25.105624491466173;-125.82006427919107;-94.37354367989344;717362859.2144146;41.39758622533401
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.5;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;244;242;180;95;91;75;1.0;1.0;1.0;307972;-20.97327;-978.0;245.0;0.003213349518703871;1040.02922874587;-0.030995964171931987;9.359402386581362;-0.13433941194773125;-329.35876446098695;-26.727679635806798;26.318554147707026;316.37649849181884;19.630689815271907;645.7352629528058;18.938410869638524;8.793425433006952;18.9378501450133;10036.095972368828;-64.90478653618487;320299884.8153235;32.24948432256686
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;0.0;0.0;0.0;0.5;1.0;GTV-1;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362795;-48.153145;-980.0;396.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;0.2823512478523398;1379.4793433881466;-0.08529680269409527;7.3952967823312985;-0.010610987126911553;-342.7377335582257;-32.31278193254046;33.86657139178989;382.2053644153405;21.780931001172515;724.9430979735662;22.12446972355919;10.135093375003834;22.122097313638964;131.5430445623469;357.3643909249813;500497131.2099067;37.14241599055332
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;2.0;0.0;0.0;0.5;1.0;GTV-1_grow2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;99;95;79;1.0;1.0;1.0;362831;-48.09677;-980.0;644.0;244;242;180;1.0;1.0;1.0;-349.319;-1114.0;2703.0;244;242;180;103;99;83;1.0;1.0;1.0;422263;-80.52959;-1000.0;398.0;244;242;180;103;99;83;1.0;1.0;1.0;422490;-80.245865;-1036.0;816.0;-0.3316385110173789;1694.3968861618375;-0.2088637165774117;6.078388909750547;-0.1070141231799131;-368.75961622906266;-39.1619659060991;39.06145344380702;382.2053644153405;24.027941960985075;750.9649806444031;24.92375586755053;11.510029312706948;24.922416392420203;-124.12024259041586;-92.27446362733176;715527554.5582148;41.1643883747084
phantom;;8.B;CT;8.B;-1.0;0;-15.0;-1;-2.0;0.0;0.0;0.75;1.0;GTV-1_shrink2.0;204;201;60;0.97699999809265;0.97699999809265;3.0;-266.4704;-1000.0;3065.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;204;201;60;100;99;26;0.97699999809265;0.97699999809265;3.0;125256;-46.88272;-1000.0;723.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;99;95;78;1.0;1.0;1.0;358958;-45.51184;-981.0;649.0;244;242;180;1.0;1.0;1.0;-349.6464;-1111.0;2738.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;244;242;180;95;91;74;1.0;1.0;1.0;303439;-17.515982;-971.0;238.0;-0.017315948486843733;1018.1753215240107;-0.024681771300203104;9.556769789143095;-0.14743140992824055;-340.09864110697566;-26.261450271888663;25.77804588039585;308.962751894687;19.439846227685816;649.0613930016627;18.708591566400397;8.694399809257039;18.70807932606094;-1842.7439670940005;-57.67022757198915;308954192.37170273;31.908864307055534
