Filter ID,Metric Category,Metric Name,Veneto Institute of Oncology,Cardiff University,King's College London,NCT Dresden,Qurit SERA,UPenn,LIFEx,UdeS
1.A,Diagnostic,Number of voxels in ROI before interpolation,,125256,125256,125256,125256,125256,125256,
1.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,125238,125238,125238,125238,125238,125238,
1.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.9756,-49.976,-46.97564,-46.975639,-46.97564,,
1.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,377,377,377,377,,
1.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-1000,-1000,-1000,-1000,-1000,,
1.A,Statistics,Mean,-46.97586994,-46.9756,-46.976,-46.97564,-46.975639,-46.97564,-46.975638384516,
1.A,Statistics,Variance,53338.75087,53338.7497,53338.75,53338.75,53338.75,53338.746,53338.749697957,
1.A,Statistics,Skewness,-2.166827968,-2.1668,-2.167,-2.16683120361036,-2.166831,-2.166831255,-2.16683104266542,
1.A,Statistics,(Excess) kurtosis,3.645055057,3.6451,3.645,3.64506472618102,3.6450641,3.645064726,3.64506403786339,
1.A,Statistics,Median,41,41,41,41,41,41,41,
1.A,Statistics,Minimum,-1000,-1000,-1000,-1000,-1000,-1000,-1000,
1.A,Statistics,10th percentile,-434,-434,-434,-434,-434,-434,-434,
1.A,Statistics,90th percentile,93,93,93,93,93,93,93,
1.A,Statistics,Maximum,377,377,377,377,377,377,377,
1.A,Statistics,Interquartile range,69,69,69,69,69,69,69,
1.A,Statistics,Range,1377,1377,1377,1377,1377,1377,1377,
1.A,Statistics,Mean absolute deviation,160.0894187,160.0892,160.089,160.08925,160.08925,160.08925,160.089241918337,
1.A,Statistics,Robust mean absolute deviation,64.42318395,64.4227,64.423,64.42274,64.422737,64.37938,64.4227368932668,
1.A,Statistics,Median absolute deviation,121.7437359,121.7435,121.744,121.74351,121.74351,121.74351,121.743504367684,
1.A,Statistics,Coefficient of variation,-4.916392969,-4.9164,-4.916,-4.916417,-4.9164171,-4.916417,-4.91641714926983,
1.A,Statistics,Quartile coefficient of dispersion,1,1,1,1,1,1,1,
1.A,Statistics,Energy,6956405228,6956402357,6956402357,6956402700,6960000000,6956402700,6960000000,
1.A,Statistics,Root mean square,235.6808928,235.6808,235.681,235.680849757797,235.68085,235.68085,235.680844150706,
1.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,125256,125256,125256,,,125256
1.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,357802,357802,357802,,,357802
1.B,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.4078,-46.408,-46.407887,-46.407845,,,-46.4079
1.B,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,377,377,377,,,377
1.B,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-997,-997,-997,-997,,,-997
1.B,Statistics,Mean,-46.40815311,-46.4078,-46.408,-46.407887,-46.407845,,,-46.4078
1.B,Statistics,Variance,52636.87771,52636.8652,52636.874,52636.844,52636.875,,,52636.84
1.B,Statistics,Skewness,-2.179385157,-2.1794,-2.179,-2.17938876586772,-2.1793895,,,-2.179
1.B,Statistics,(Excess) kurtosis,3.712567069,3.7126,3.713,3.71257637425964,3.7125797,,,3.71257
1.B,Statistics,Median,41,41,41,41,41,,,41
1.B,Statistics,Minimum,-997,-997,-997,-997,-997,,,-997
1.B,Statistics,10th percentile,-427,-427,-427,-427,-427,,,-427
1.B,Statistics,90th percentile,92,92,92,92,92,,,92
1.B,Statistics,Maximum,377,377,377,377,377,,,377
1.B,Statistics,Interquartile range,67,67,67,67,67,,,67
1.B,Statistics,Range,1374,1374,1374,1374,1374,,,1374
1.B,Statistics,Mean absolute deviation,158.9224811,158.9222,158.922,158.9222,158.92223,,,158.922
1.B,Statistics,Robust mean absolute deviation,63.59757067,63.597,63.597,63.59697,63.596977,,,63.59697
1.B,Statistics,Median absolute deviation,120.5450165,120.5447,120.545,120.54472,120.54471,,,120.5447
1.B,Statistics,Coefficient of variation,-4.943684818,-4.9437,-4.944,-4.9437118,-4.9437175,,,-4.9437
1.B,Statistics,Quartile coefficient of dispersion,0.943661972,0.94366,0.944,0.943661971830986,0.94366199,,,0.94366
1.B,Statistics,Energy,19604184252,19604169558,19604172582,19604165000,19600000000,,,19604164608
1.B,Statistics,Root mean square,234.073908,234.0738,234.074,234.073790678774,234.07384,,,234.0738
2.A,Diagnostic,Number of voxels in ROI before interpolation,,125256,125256,125256,125256,125256,,
2.A,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,125238,125238,125238,125238,125237,,
2.A,Diagnostic,Mean intensity in intensity ROI-mask after interpolation and resegmentation,,-46.9756,-46.976,-46.97564,-46.975639,-46.96803,,
2.A,Diagnostic,Max intensity in intensity ROI-mask after interpolation and resegmentation,,377,377,377,377,377,,
2.A,Diagnostic,Min intensity in intensity ROI-mask after interpolation and resegmentation,,-1000,-1000,-1000,-1000,-970,,
2.A,Statistics,Mean,-49.88217186,-49.8816,-49.882,-49.881645,-49.88164358,-49.875805,,
2.A,Statistics,Variance,46616.98367,46616.9379,46616.938,46616.938,46616.93794,46613.043,,
2.A,Statistics,Skewness,-2.126564632,-2.1266,-2.127,-2.12657464822379,-2.126574749,-2.12662912,,
2.A,Statistics,(Excess) kurtosis,3.527636058,3.5277,3.528,3.5276690969187,3.527669552,3.527992665,,
2.A,Statistics,Median,38.08,38.08,38.08,38.08,38.08000183,38.079998,,
2.A,Statistics,Minimum,-888.92,-888.92,-888.92,-888.92,-888.9199829,-888.92,,
2.A,Statistics,10th percentile,-402.4,-402.364,-402.364,-402.315997314453,-402.3639954,-402.2799988,,
2.A,Statistics,90th percentile,79.84,79.84,79.84,79.8400039672852,79.83999634,79.83999634,,
2.A,Statistics,Maximum,334.16,334.16,334.16,334.16,334.1600037,334.16,,
2.A,Statistics,Interquartile range,82,82,82,81.9900002479553,82,81.95999908,,
2.A,Statistics,Range,1223.08,1223.08,1223.08,1223.08,1223.079987,1223.079987,,
2.A,Statistics,Mean absolute deviation,152.587715,152.5869,152.587,152.5869,152.5868991,152.57912,,
2.A,Statistics,Robust mean absolute deviation,67.73782973,67.7297,67.73,67.7294,67.72939631,67.73083,,
2.A,Statistics,Median absolute deviation,115.8281544,115.8276,115.828,115.82763,115.8276261,115.82201,,
2.A,Statistics,Coefficient of variation,-4.328393441,-4.3284,-4.328,-4.328437,-4.328437159,-4.328763,,
2.A,Statistics,Quartile coefficient of dispersion,1.850180505,1.8502,1.85,1.84953758788613,1.850180518,1.847610414,,
2.A,Statistics,Energy,6149838884,6149826557.2512,6149826557,6149826000,6149826556,6149216000,,
2.A,Statistics,Root mean square,221.5969647,221.5967,221.597,221.59673339261,221.5967425,221.58664,,
2.B,Diagnostic,Number of voxels in ROI before interpolation,,125256,125256,125256,125256,,,125256
2.B,Diagnostic,Number of voxels in intensity ROI-mask after interpolation and resegmentation,,357802,357802,357802,357802,,,357802
