feature_tag,family,feature_name,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
stat_mean,Statistics,Mean,Q4LE,328.2796,334.6544,7.4268,89.3992,89.891,0.0029161,,,
stat_var,Statistics,Variance,ECT3,6152.2585,5797.8804,47.9496,2380.9766,7026.3136,3.9241,,,
stat_skew,Statistics,Skewness,KE2A,2.3632,2.1588,0.39201,0.75021,3.8767,-0.093651,,,
stat_kurt,Statistics,(Excess) kurtosis,IPH6,7.0344,4.997,-0.15309,0.036551,25.1933,4.3029,,,
stat_median,Statistics,Median,Y12H,304.3416,304.5585,6.5881,82.3468,69.8914,0.010487,,,
stat_min,Statistics,Minimum,1GSF,82.5078,127.3024,-17.1717,25.3454,0.21728,-14.7769,,,
stat_p10,Statistics,10th percentile,QG58,272.3698,281.9043,-0.018819,34.3857,24.0959,-2.1505,,,
stat_p90,Statistics,90th percentile,8DWT,426.0905,442.7715,17.0617,156.5917,167.851,2.1613,,,
stat_max,Statistics,Maximum,84IY,896.2029,815.8841,34.6467,309.7908,1145.7817,14.6754,,,
stat_iqr,Statistics,Interquartile range,SALO,46.451,51.6366,10.7758,77.3044,68.2975,2.1048,,,
stat_range,Statistics,Range,2OJQ,813.6951,688.5817,51.8184,284.4454,1145.5644,29.4523,,,
stat_mad,Statistics,Mean absolute deviation,4FUA,51.7616,53.8751,5.7261,40.6357,51.9522,1.4167,,,
stat_rmad,Statistics,Robust mean absolute deviation,1128,24.1398,27.7821,4.2826,31.0467,29.1681,0.88226,,,
stat_medad,Statistics,Median absolute deviation,N72L,45.3583,44.9725,5.6926,40.3344,49.0251,1.4167,,,
stat_cov,Statistics,Coefficient of variation,7TET,0.23893,0.22753,0.93238,0.54581,0.9325,679.3108,,,
stat_qcod,Statistics,Quartile coefficient of dispersion,9S40,0.074597,0.081003,0.77143,0.46297,0.45101,117.2174,,,
stat_energy,Statistics,Energy,N8CA,6866856710.9255,7100233480.9468,6215040.4373,625275190.9776,910601470.8469,236538.8688,,,
stat_rms,Statistics,Root mean square,5ZWQ,337.52,343.2076,10.1541,101.8489,122.9093,1.9809,,,
