,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,288.8212,290.2825,2.2221,61.578,79.9107,0.0015577,28.9881,-0.094721,-4.2965
1,Statistics,Variance,stat_var,ECT3,3594.3812,3222.3281,19.8555,1342.9923,4918.6335,4.5206,991.7317,400.4081,1394.0824
2,Statistics,Skewness,stat_skew,KE2A,5.0273,5.1437,1.2177,2.1304,3.4435,0.070304,4.2195,-0.46774,-1.6572
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,37.1439,35.8791,3.1404,5.483,19.6103,3.5478,29.8751,9.4347,6.3305
4,Statistics,Median,stat_median,Y12H,278.8506,279.2923,0.62039,45.9176,63.3236,0.0020335,20.7652,0.085952,-0.52795
5,Statistics,Minimum,stat_min,1GSF,121.0763,200.073,-33.2992,23.9689,0.14992,-23.2846,-27.5271,-201.9592,-247.5243
6,Statistics,10th percentile,stat_p10,QG58,247.374,254.9564,-0.88008,34.2155,23.2603,-2.4709,6.8881,-18.4239,-34.1815
7,Statistics,90th percentile,stat_p90,8DWT,323.3693,318.3287,9.4176,113.382,146.2515,2.4565,57.4569,18.9856,30.4615
8,Statistics,Maximum,stat_max,84IY,1102.4965,1044.3821,21.7503,356.7984,1131.2173,20.8904,547.7399,250.3703,214.9597
9,Statistics,Interquartile range,stat_iqr,SALO,36.3158,29.1741,3.1071,34.0483,57.5522,2.5048,20.8036,17.6423,24.9394
10,Statistics,Range,stat_range,2OJQ,981.4202,844.3091,55.0495,332.8294,1131.0674,44.175,575.2671,452.3296,462.484
11,Statistics,Mean absolute deviation,stat_mad,4FUA,31.3549,28.3938,3.2071,26.8086,44.3643,1.5871,18.7366,13.066,23.0863
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,15.3525,12.4599,1.7445,16.018,24.7403,1.0446,9.3426,7.4792,11.0765
13,Statistics,Median absolute deviation,stat_medad,N72L,29.8918,26.2642,2.7651,23.4702,41.8957,1.5871,17.0895,13.065,22.7593
14,Statistics,Coefficient of variation,stat_cov,7TET,0.20758,0.19555,2.0053,0.59513,0.87764,1364.9245,1.0864,-211.2551,-8.6903
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.064836,0.051988,1.1266,0.30799,0.42415,-1591.4662,0.45178,104.3633,-14.2175
16,Statistics,Energy,stat_energy,N8CA,50907553884.1526,51184984608.9051,14505646.595,3004208764.6422,6613756938.3403,2644844.2899,1071858525.1803,234269209.0214,826426106.3528
17,Statistics,Root mean square,stat_rms,5ZWQ,294.9781,295.7808,4.9793,71.6578,106.3219,2.1262,42.8023,20.0104,37.5838
