,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,22.7839,22.2224,-1.0284,39.5826,131.6961,0.00017155,14.4498,0.22504,0.63925
1,Statistics,Variance,stat_var,ECT3,597.55,511.7297,11.1914,348.2128,6756.2792,0.76862,113.5619,177.6268,559.2193
2,Statistics,Skewness,stat_skew,KE2A,-1.9297,-3.7941,-4.6224,5.3364,1.0607,-0.00048661,3.9533,1.5661,3.1359
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,8.1476,25.7336,25.4204,35.6246,1.458,0.44556,35.8891,17.1144,29.9983
4,Statistics,Median,stat_median,Y12H,26,26.5556,-0.23214,36.3549,115.4326,0.00012739,13.0576,-0.011298,0.10353
5,Statistics,Minimum,stat_min,1GSF,-200,-325.8889,-30.1303,20.0241,0.063569,-4.6896,-16.2669,-98.0937,-122.0835
6,Statistics,10th percentile,stat_p10,QG58,-1,4.3704,-2.4284,28.0271,40.7889,-1.1009,4.4687,-13.8634,-14.4463
7,Statistics,90th percentile,stat_p90,8DWT,47,39.9259,0.51922,47.1354,244.3358,1.1022,24.6207,14.094,15.4458
8,Statistics,Maximum,stat_max,84IY,112,82.037,17.8351,272.5211,707.667,5.2798,215.9753,210.6358,286.4636
9,Statistics,Interquartile range,stat_iqr,SALO,23,15.7037,1.1338,10.1912,108.3768,1.1402,10.3019,14.2179,12.9899
10,Statistics,Range,stat_range,2OJQ,312,407.9259,47.9654,252.497,707.6034,9.9694,232.2423,308.7295,408.5472
11,Statistics,Mean absolute deviation,stat_mad,4FUA,16.5407,13.4036,1.6223,8.9039,64.817,0.68895,6.8833,9.2363,11.9861
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,9.6937,6.6613,0.52466,4.2315,45.1186,0.47357,4.3014,5.9393,5.6046
13,Statistics,Median absolute deviation,stat_medad,N72L,16.3448,12.7908,1.3692,8.4136,63.5532,0.68895,6.7824,9.2341,11.9738
14,Statistics,Coefficient of variation,stat_cov,7TET,1.0729,1.018,-3.2528,0.47143,0.62414,5110.5614,0.73749,59.2223,36.9929
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.45098,0.30199,-1.4561,0.13839,0.43709,826.5704,0.38342,226.7325,42.3281
16,Statistics,Energy,stat_energy,N8CA,379248768,341518408.2817,4160154.2062,650387617.5119,8185106982.478,261044.0845,109482021.0096,60344404.7493,190065886.5586
17,Statistics,Root mean square,stat_rms,5ZWQ,33.4164,31.7106,3.4999,43.7606,155.2422,0.87671,17.9543,13.3296,23.6565
