,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,1.3812,1.3465,-0.089379,0.47734,0.52607,2.0893e-05,0.28616,0.016372,0.13305
1,Statistics,Variance,stat_var,ECT3,0.22045,0.15777,0.034606,0.0036865,0.066291,2.8755e-05,0.017537,0.033345,0.074329
2,Statistics,Skewness,stat_skew,KE2A,1.3326,1.129,-1.4753,0.38919,1.38,0.087757,0.62436,0.41251,1.8731
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,3.5909,2.4309,4.7547,-0.21949,4.5807,0.14524,0.65158,0.60975,6.2456
4,Statistics,Median,stat_median,Y12H,1.3117,1.2947,-0.066017,0.47376,0.49403,-3.3415e-05,0.27176,0.0048065,0.086412
5,Statistics,Minimum,stat_min,1GSF,0.45063,0.47714,-1.158,0.34478,0.016258,-0.017374,-0.029896,-0.47325,-0.41197
6,Statistics,10th percentile,stat_p10,QG58,0.86268,0.91334,-0.30251,0.39983,0.23853,-0.0067878,0.12894,-0.20846,-0.13295
7,Statistics,90th percentile,stat_p90,8DWT,1.9569,1.8418,0.11215,0.56583,0.81498,0.0067969,0.45893,0.24842,0.44775
8,Statistics,Maximum,stat_max,84IY,4.0453,3.2568,0.32718,0.64536,2.2348,0.02048,0.8071,0.83804,1.7531
9,Statistics,Interquartile range,stat_iqr,SALO,0.54884,0.48737,0.21836,0.075584,0.32347,0.0071057,0.17173,0.24527,0.28106
10,Statistics,Range,stat_range,2OJQ,3.5947,2.7796,1.4852,0.30058,2.2186,0.037854,0.837,1.3113,2.1651
11,Statistics,Mean absolute deviation,stat_mad,4FUA,0.35117,0.302,0.13727,0.048108,0.19429,0.0042758,0.10389,0.1448,0.19253
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,0.23219,0.20247,0.0902,0.033177,0.13255,0.0029946,0.071137,0.10138,0.11838
13,Statistics,Median absolute deviation,stat_medad,N72L,0.34592,0.29831,0.13594,0.048005,0.19272,0.0042757,0.10305,0.14452,0.18726
14,Statistics,Coefficient of variation,stat_cov,7TET,0.33994,0.29499,-2.0813,0.1272,0.48943,256.661,0.46277,11.1538,2.0492
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.2049,0.18507,-1.4792,0.079992,0.31899,-3308.0377,0.30777,9.4882,1.3629
16,Statistics,Energy,stat_energy,N8CA,4656.2086,4311.9308,93.1979,506.6061,750.5649,0.062918,217.5414,73.5451,201.3625
17,Statistics,Root mean square,stat_rms,5ZWQ,1.4588,1.4038,0.20639,0.48118,0.58569,0.0053624,0.31532,0.18334,0.30337
