feature_tag;family;feature_name;ibsi_identifier;ID_1;ID_2;ID_3;ID_4;ID_5;ID_6;ID_7;ID_8;ID_9
stat_mean;Statistics;Mean;Q4LE;4.303974;4.2584505;-0.130722814721738;1.3515314;1.55026751044187;-2.3742035e-05;0.6858977;0.00107344012918335;0.111297099868732
stat_var;Statistics;Variance;ECT3;4.2517376;3.4564056;0.400592991525621;0.11308713;0.85181755900321;0.00011847613;0.16772528;0.250338713127252;1.19320387379077
stat_skew;Statistics;Skewness;KE2A;0.947581288339997;0.840142055764492;-1.33340659803084;-0.182485964681961;1.13956444835953;0.0238181714388327;0.919641205889974;0.772393645197676;0.85108310259843
stat_kurt;Statistics;(Excess) kurtosis;IPH6;0.699766693650284;0.442609006120408;4.03346412513698;-0.696990163746201;1.49902936726389;0.524249172614132;1.22809902547055;4.14395069442977;2.18370178634727
stat_median;Statistics;Median;Y12H;3.8822892;3.9558952;-0.0371565814803332;1.370622;1.33667273780775;-2.5586613e-05;0.62437147;-0.0222716133510456;0.0054553164415849
stat_min;Statistics;Minimum;1GSF;0.79242927;0.9283551;-5.15262689502321;0.4564085;0.00471653164638583;-0.048285723;-0.28209218;-2.06015288056837;-3.40168720429756
stat_p10;Statistics;10th percentile;QG58;2.02673115730286;2.13391361236572;-0.917517997873799;0.894890940189362;0.576578116133869;-0.0136773208156228;0.21883082985878;-0.564368405645429;-1.10638897794738
stat_p90;Statistics;90th percentile;8DWT;7.17780847549438;6.81337909698486;0.544535620613584;1.76935386657715;2.83878795411241;0.0134017622098327;1.2435779094696;0.568127484191491;1.46949920030832
stat_max;Statistics;Maximum;84IY;13.183144;11.882446;1.63396225609529;2.1926017;6.70793688273211;0.049119297;2.7151182;4.50338079405139;5.91697280583157
stat_iqr;Statistics;Interquartile range;SALO;2.76161527633667;2.5334587097168;0.672333824477518;0.530782103538513;1.18901851377724;0.0137391327880323;0.518263310194016;0.552213696993733;1.18721249683888
stat_range;Statistics;Range;2OJQ;12.390715;10.954091;6.7865891511185;1.7361932;6.70322035108573;0.09740502;2.9972103;6.56353367461976;9.31866001012914
stat_mad;Statistics;Mean absolute deviation;4FUA;1.6410015;1.486502;0.461129270550344;0.2818644;0.724049608587697;0.00848158;0.3179682;0.365312790324839;0.805349833243501
stat_rmad;Statistics;Robust mean absolute deviation;1128;1.1451552;1.0476153;0.288174330798845;0.21244182;0.497512738911597;0.0057527362;0.21546099;0.232556856261433;0.507349453126511
stat_medad;Statistics;Median absolute deviation;N72L;1.6095016;1.4668832;0.453626933440373;0.2815197;0.705469466949547;0.00848158;0.3137972;0.364787983088396;0.800059492579437
stat_cov;Statistics;Coefficient of variation;7TET;0.47908613;0.4365769;-4.84172683036449;0.24881724;0.595342173466943;-458.4558;0.5970902;466.107596386367;9.81461977721981
stat_qcod;Statistics;Quartile coefficient of dispersion;9S40;0.335776375541818;0.309179744760548;-4.64469451345903;0.195503216532712;0.408234694200559;-185.840296542645;0.398809312086811;-22.3984309067609;16.8336188188241
stat_energy;Statistics;Energy;N8CA;359791.44;341069.94;6598.11379953;30641.822;51421.5557836318;1.8715763;10081.344;3954.61885373901;19044.7197352786
stat_rms;Statistics;Root mean square;5ZWQ;4.77241390837825;4.64659062376823;0.646282790900698;1.3927397968209;1.80420256981716;0.0108846999205108;0.798862256338438;0.50033974997092;1.09799404289366
