feature_tag,family,feature_name,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
stat_mean,Statistics,Mean,Q4LE,2.558786630630493,2.5236246670180393,0,0,0,0,0,0,0
stat_var,Statistics,Variance,ECT3,1.7481341361999512,1.3137611557174202,0,0,0,0,0,0,0
stat_skew,Statistics,Skewness,KE2A,0.3199424045395473,0.1259645745092548,0,0,0,0,0,0,0
stat_kurt,Statistics,(Excess) kurtosis,IPH6,-0.5009598465562433,-0.6688275294386936,0,0,0,0,0,0,0
stat_median,Statistics,Median,Y12H,2.493845224380493,2.521432156916018,0,0,0,0,0,0,0
stat_min,Statistics,Minimum,1GSF,0.1412495225667953,0.21636643840206993,0,0,0,0,0,0,0
stat_p10,Statistics,10th percentile,QG58,0.808482563495636,0.9488126781251696,0,0,0,0,0,0,0
stat_p90,Statistics,90th percentile,8DWT,4.335054397583008,4.027853287590873,0,0,0,0,0,0,0
stat_max,Statistics,Maximum,84IY,8.153397560119629,6.355006023689551,0,0,0,0,0,0,0
stat_iqr,Statistics,Interquartile range,SALO,2.0014999508857727,1.7565214501486883,0,0,0,0,0,0,0
stat_range,Statistics,Range,2OJQ,8.012147903442383,6.138639585287481,0,0,0,0,0,0,0
stat_mad,Statistics,Mean absolute deviation,4FUA,1.0961008071899414,0.952825330296139,0,0,0,0,0,0,0
stat_rmad,Statistics,Robust mean absolute deviation,1128,0.8191953897476196,0.7124486553798289,0,0,0,0,0,0,0
stat_medad,Statistics,Median absolute deviation,N72L,1.0951157808303833,0.952822923856298,0,0,0,0,0,0,0
stat_cov,Statistics,Coefficient of variation,7TET,0.5167176723480225,0.45418568776958324,0,0,0,0,0,0,0
stat_qcod,Statistics,Quartile coefficient of dispersion,9S40,0.4010111501664461,0.35087295776183947,0,0,0,0,0,0,0
stat_energy,Statistics,Energy,N8CA,111782.15625,103520.91424654846,0,0,0,0,0,0,0
stat_rms,Statistics,Root mean square,5ZWQ,2.880194664001465,2.77172195858447,0,0,0,0,0,0,0
