family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,2.5463,2.5257,-0.058414,0.69668,0.85865,-9.1489e-07,0.43836,0.034225,0.18868
Statistics,Variance,stat_var,ECT3,0.97724,0.82517,0.071957,0.019334,0.17488,6.4693e-05,0.054871,0.18714,0.36846
Statistics,Skewness,stat_skew,KE2A,1.6693,1.5415,-2.0892,0.73476,1.6214,0.041192,0.83238,2.4917,0.62795
Statistics,(Excess) kurtosis,stat_kurt,IPH6,4.2479,3.2451,12.5913,0.65989,4.8698,0.57603,1.046,19.3061,2.3114
Statistics,Median,stat_median,Y12H,2.3203,2.3192,-0.025832,0.67847,0.77338,-5.3365e-06,0.40726,0.0074477,0.1493
Statistics,Minimum,stat_min,1GSF,0.75844,0.94665,-3.2042,0.38263,0.0045452,-0.037085,-0.20528,-1.3618,-1.7005
Statistics,10th percentile,stat_p10,QG58,1.5766,1.6283,-0.3507,0.53274,0.43617,-0.010053,0.16877,-0.41815,-0.46329
Statistics,90th percentile,stat_p90,8DWT,3.8304,3.7517,0.22011,0.88852,1.3858,0.010113,0.74564,0.45751,0.88316
Statistics,Maximum,stat_max,84IY,10.0023,8.5898,0.71534,1.2879,4.3669,0.042745,1.5501,5.2432,3.2894
Statistics,Interquartile range,stat_iqr,SALO,1.0343,0.95045,0.28218,0.1749,0.46609,0.010204,0.29373,0.43563,0.60261
Statistics,Range,stat_range,2OJQ,9.2439,7.6432,3.9196,0.90531,4.3623,0.07983,1.7554,6.605,4.9899
Statistics,Mean absolute deviation,stat_mad,4FUA,0.72284,0.66986,0.18857,0.10871,0.30907,0.0062672,0.18206,0.29287,0.43525
Statistics,Robust mean absolute deviation,stat_rmad,1128,0.44934,0.41821,0.11906,0.074192,0.19878,0.0042578,0.12326,0.18316,0.25995
Statistics,Median absolute deviation,stat_medad,N72L,0.69703,0.64658,0.18661,0.1077,0.301,0.0062672,0.18034,0.29193,0.43379
Statistics,Coefficient of variation,stat_cov,7TET,0.38823,0.35966,-4.5922,0.19959,0.48703,-8791.4532,0.53437,12.6399,3.217
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.21476,0.19895,-3.8466,0.12732,0.28851,-410.1272,0.34956,16.3895,1.8397
Statistics,Energy,stat_energy,N8CA,167784.1766,162009.5441,1694.9086,11349.5797,20512.765,1.4548,5555.1732,4234.8457,9086.466
Statistics,Root mean square,stat_rms,5ZWQ,2.7315,2.6841,0.27454,0.71042,0.95507,0.0080432,0.49702,0.43395,0.63566
