family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,267.2934,268.201,1.8486,45.0361,60.1513,-0.0023826,3.9529,-1.0344,-6.5094
Statistics,Variance,stat_var,ECT3,10535.9258,10029.858,25.3522,777.3232,3919.4466,1.0656,19.0588,872.4708,4313.6681
Statistics,Skewness,stat_skew,KE2A,2.9389,2.9199,0.92724,2.3826,4.3561,0.085956,4.1547,-0.32378,-0.78395
Statistics,(Excess) kurtosis,stat_kurt,IPH6,12.0522,11.914,2.7101,7.8647,28.9778,12.8555,32.2078,4.4173,1.7199
Statistics,Median,stat_median,Y12H,239.045,240.2875,1.1828,36.4003,44.5795,-0.0025407,2.6778,0.047122,-2.0094
Statistics,Minimum,stat_min,1GSF,124.415,138.0808,-18.6454,13.7729,0.075722,-13.851,-6.109,-209.2882,-314.4519
Statistics,10th percentile,stat_p10,QG58,187.8983,189.9839,-2.9043,22.3234,15.8598,-1.0789,0.90929,-32.1627,-83.5562
Statistics,90th percentile,stat_p90,8DWT,385.9483,384.9724,8.0704,77.6369,112.2795,1.0819,8.2158,28.9963,71.1121
Statistics,Maximum,stat_max,84IY,1076.7208,1041.0225,24.8133,292.741,899.4508,20.9067,111.3771,220.2136,251.1011
Statistics,Interquartile range,stat_iqr,SALO,72.1633,71.0737,3.3641,26.028,44.1609,1.0357,3.1233,26.3563,65.068
Statistics,Range,stat_range,2OJQ,952.3058,902.9417,43.4587,278.9681,899.3751,34.7577,117.486,429.5019,565.553
Statistics,Mean absolute deviation,stat_mad,4FUA,66.1075,64.8138,3.3149,19.3646,36.6434,0.71257,2.6907,20.0743,47.0884
Statistics,Robust mean absolute deviation,stat_rmad,1128,33.4909,32.9044,1.6144,11.3028,19.1811,0.43841,1.4025,11.4607,28.0462
Statistics,Median absolute deviation,stat_medad,N72L,59.7812,58.3967,3.2375,18.0063,33.8954,0.71257,2.4347,20.0491,46.8817
Statistics,Coefficient of variation,stat_cov,7TET,0.38401,0.37341,2.7238,0.61907,1.0408,-433.2531,1.1044,-28.5554,-10.0899
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.1472,0.1438,1.232,0.32602,0.45207,-735.5299,0.49962,-149.5741,-19.9955
Statistics,Energy,stat_energy,N8CA,34809350832.6274,34800823120.7124,12215442.5737,1191242086.3112,3200469232.4854,452445.1582,14726986.0242,370904556.5515,1849570207.1148
Statistics,Root mean square,stat_rms,5ZWQ,286.3245,286.2894,5.3637,52.9676,86.8195,1.0323,5.8894,29.5557,66.0003
