family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,13.7376,13.8223,0.1791,50.4896,172.6226,8.6282e-05,14.6618,-0.1298,0.70336
Statistics,Variance,stat_var,ECT3,594.052,258.2002,0.89214,76.7423,10386.0691,0.879,98.8749,136.7611,212.6104
Statistics,Skewness,stat_skew,KE2A,0.15029,0.57591,1.2941,2.8652,1.0111,-0.0023927,2.7055,-0.72096,-0.7616
Statistics,(Excess) kurtosis,stat_kurt,IPH6,0.69325,5.0899,16.8836,22.4969,1.3672,0.37374,29.5468,9.9878,9.5943
Statistics,Median,stat_median,Y12H,13,13.5556,0.095477,49.9044,155.5434,0.0007916,13.3551,0.01291,0.50261
Statistics,Minimum,stat_min,1GSF,-119,-77.4074,-15.4929,30.3233,0.18231,-5.1055,-17.0086,-170.2401,-197.5241
Statistics,10th percentile,stat_p10,QG58,-17,-5.2963,-0.68371,41.0549,57.4886,-1.1809,4.2138,-13.1601,-13.362
Statistics,90th percentile,stat_p90,8DWT,45,33,1.0942,59.203,309.8848,1.1749,26.2931,13.012,16.3116
Statistics,Maximum,stat_max,84IY,200,247.5556,14.5377,183.2877,830.6281,5.2985,308.3768,170.1855,168.1281
Statistics,Interquartile range,stat_iqr,SALO,33,18.3333,0.87214,9.9617,131.98,1.2099,11.4419,13.405,14.5257
Statistics,Range,stat_range,2OJQ,319,324.963,30.0305,152.9643,830.4458,10.404,325.3854,340.4255,365.6523
Statistics,Mean absolute deviation,stat_mad,4FUA,19.2192,11.9676,0.61581,6.0782,79.8156,0.73557,7.1737,8.5012,10.0253
Statistics,Robust mean absolute deviation,stat_rmad,1128,13.5591,7.7539,0.36669,4.0886,55.0125,0.5035,4.771,5.5771,6.1025
Statistics,Median absolute deviation,stat_medad,N72L,19.2173,11.9654,0.61137,6.0602,78.6429,0.73557,7.0949,8.5004,10.0238
Statistics,Coefficient of variation,stat_cov,7TET,1.7742,1.1625,5.2739,0.17351,0.59038,10866.1482,0.6782,-90.0967,20.7308
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,1.2222,0.68088,3.6003,0.099795,0.40492,605.1195,0.41226,-2189.3283,10.8264
Statistics,Energy,stat_energy,N8CA,498129371,285891657.0233,588137.3402,1671060689.9155,25572089112.3254,559364.4512,199719193.9288,87040719.7779,135612660.9442
Statistics,Root mean square,stat_rms,5ZWQ,27.9781,21.1957,0.96136,51.244,200.461,0.93755,17.7156,11.6952,14.5981
