feature_tag,family,feature_name,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
stat_mean,Statistics,Mean,Q4LE,382.7519,386.0114,5.668,45.6674,73.7575,0.0026683,,,
stat_var,Statistics,Variance,ECT3,8985.8293,8576.5952,25.5746,1619.2444,9148.284,0.97277,,,
stat_skew,Statistics,Skewness,KE2A,2.1269,1.9824,0.055752,2.0039,3.7622,-0.082213,,,
stat_kurt,Statistics,(Excess) kurtosis,IPH6,4.9467,4.1543,0.23992,5.6974,19.2811,5.9915,,,
stat_median,Statistics,Median,Y12H,349.2658,351.9026,5.0623,32.3948,42.5671,-0.00085207,,,
stat_min,Statistics,Minimum,1GSF,244.565,283.6568,-18.5667,7.1277,0.058464,-8.4456,,,
stat_p10,Statistics,10th percentile,QG58,309.6502,312.316,0.37992,11.7614,13.4305,-0.99973,,,
stat_p90,Statistics,90th percentile,8DWT,514.3826,518.7416,12.4202,98.1459,161.374,1.0113,,,
stat_max,Statistics,Maximum,84IY,940.4608,917.7996,20.7641,336.7124,1041.5629,7.9743,,,
stat_iqr,Statistics,Interquartile range,SALO,75.0978,81.0778,7.8383,46.5113,59.9193,0.84708,,,
stat_range,Statistics,Range,2OJQ,695.8959,634.1428,39.3308,329.5847,1041.5045,16.4199,,,
stat_mad,Statistics,Mean absolute deviation,4FUA,66.9646,67.1047,4.183,29.8836,57.8896,0.65848,,,
stat_rmad,Statistics,Robust mean absolute deviation,1128,36.4991,38.4928,3.1447,19.6949,27.7504,0.36987,,,
stat_medad,Statistics,Median absolute deviation,N72L,59.2016,59.6196,4.1629,28.1145,50.1777,0.65847,,,
stat_cov,Statistics,Coefficient of variation,7TET,0.24766,0.23991,0.89223,0.88115,1.2968,369.6338,,,
stat_qcod,Statistics,Quartile coefficient of dispersion,9S40,0.10366,0.11034,0.7047,0.59733,0.56037,305.0391,,,
stat_energy,Statistics,Energy,N8CA,8275992666.9251,8387583430.4434,3071243.829,197193000.7144,776499190.6612,51778.2598,,,
stat_rms,Statistics,Root mean square,5ZWQ,394.3157,396.9652,7.5961,60.8667,120.7826,0.9863,,,
