feature_tag,family,feature_name,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
stat_mean,Statistics,Mean,Q4LE,31.8386,31.8351,-0.053404,78.5846,68.6497,0.00042541,,,
stat_var,Statistics,Variance,ECT3,972.0065,280.6667,0.69546,234.8218,1701.3433,6.8721,,,
stat_skew,Statistics,Skewness,KE2A,-0.27233,-1.6389,0.7878,0.77366,1.4133,0.0056842,,,
stat_kurt,Statistics,(Excess) kurtosis,IPH6,0.75032,7.61,11.3113,1.1474,3.9045,0.19166,,,
stat_median,Statistics,Median,Y12H,33,33,-0.038537,76.8827,61.5775,-0.0036633,,,
stat_min,Statistics,Minimum,1GSF,-172,-115.7407,-5.6398,34.8821,0.11937,-12.7782,,,
stat_p10,Statistics,10th percentile,QG58,-7,14.5926,-0.90241,60.568,23.8497,-3.3255,,,
stat_p90,Statistics,90th percentile,8DWT,70,50,0.73659,98.6301,120.5873,3.3205,,,
stat_max,Statistics,Maximum,84IY,168,100.1481,14.4164,193.7517,459.2356,12.2126,,,
stat_iqr,Statistics,Interquartile range,SALO,40,18.0741,0.80502,19.5278,49.8063,3.4473,,,
stat_range,Statistics,Range,2OJQ,340,215.8889,20.0562,158.8696,459.1162,24.9907,,,
stat_mad,Statistics,Mean absolute deviation,4FUA,24.3679,11.8339,0.56113,11.9388,31.1643,2.0729,,,
stat_rmad,Statistics,Robust mean absolute deviation,1128,16.7798,7.5418,0.33811,8.1443,20.8238,1.4333,,,
stat_medad,Statistics,Median absolute deviation,N72L,24.3594,11.7921,0.56098,11.8582,30.6344,2.0729,,,
stat_cov,Statistics,Coefficient of variation,7TET,0.97922,0.52625,-15.6157,0.195,0.60084,6162.256,,,
stat_qcod,Statistics,Quartile coefficient of dispersion,9S40,0.625,0.27477,-8.4345,0.12589,0.38688,1700.3866,,,
stat_energy,Statistics,Energy,N8CA,1446659688,942826823.8025,508744.4937,4670184343.48,4672929442.0863,5006606.1178,,,
stat_rms,Statistics,Root mean square,5ZWQ,44.5613,35.9741,0.83565,80.0647,80.0883,2.6215,,,
