feature_tag,family,feature_name,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
stat_mean,Statistics,Mean,Q4LE,4.2119,4.1108,-0.255,1.7597,1.6905,4.1089e-05,,,
stat_var,Statistics,Variance,ECT3,8.1192,6.3094,0.92601,1.0325,1.7999,9.7561e-05,,,
stat_skew,Statistics,Skewness,KE2A,1.2697,1.1101,-1.0901,0.91581,1.3618,0.10093,,,
stat_kurt,Statistics,(Excess) kurtosis,IPH6,1.4757,0.9825,2.6011,0.82314,1.8018,1.0526,,,
stat_median,Statistics,Median,Y12H,3.5767,3.6154,-0.050688,1.6001,1.3314,-3.3751e-06,,,
stat_min,Statistics,Minimum,1GSF,0.51523,0.69465,-4.8426,0.31132,0.0075332,-0.049185,,,
stat_p10,Statistics,10th percentile,QG58,1.3275,1.4044,-1.4541,0.54152,0.39521,-0.011912,,,
stat_p90,Statistics,90th percentile,8DWT,8.1968,7.7355,0.74348,3.0828,3.6244,0.012032,,,
stat_max,Statistics,Maximum,84IY,15.8567,13.9637,3.3388,6.1189,8.3523,0.046647,,,
stat_iqr,Statistics,Interquartile range,SALO,3.5764,3.1861,0.87744,1.3979,1.6502,0.012112,,,
stat_range,Statistics,Range,2OJQ,15.3415,13.2691,8.1813,5.8076,8.3447,0.095832,,,
stat_mad,Statistics,Mean absolute deviation,4FUA,2.2044,1.9557,0.69044,0.80553,1.0385,0.0076012,,,
stat_rmad,Statistics,Robust mean absolute deviation,1128,1.4964,1.3393,0.40105,0.56997,0.69979,0.005082,,,
stat_medad,Statistics,Median absolute deviation,N72L,2.1365,1.9075,0.66353,0.79521,0.99577,0.0076011,,,
stat_cov,Statistics,Coefficient of variation,7TET,0.67652,0.61104,-3.7737,0.57743,0.79362,240.3903,,,
stat_qcod,Statistics,Quartile coefficient of dispersion,9S40,0.47825,0.42785,-2.15,0.41792,0.55785,-1232.3224,,,
stat_energy,Statistics,Energy,N8CA,190659.4457,171113.7123,7306.8715,30444.6718,34340.5481,0.71933,,,
stat_rms,Statistics,Root mean square,5ZWQ,5.0852,4.8175,0.99551,2.032,2.1581,0.0098774,,,
