feature_tag;family;feature_name;ibsi_identifier;ID_1;ID_2;ID_3;ID_4;ID_5;ID_6;ID_7;ID_8;ID_9
stat_mean;Statistics;Mean;Q4LE;58.945885;58.295692;-1.39806789555475;95.6218;124.061872727777;0.0016197739;33.977074;0.248718205043483;1.63252497645129
stat_var;Statistics;Variance;ECT3;1642.1929;464.16446;2.07020566098706;58.359146;4209.55570970138;7.4972763;331.60217;794.76574680295;437.926726631787
stat_skew;Statistics;Skewness;KE2A;-0.0739140425934534;-0.435950689388284;-0.452759162551935;0.644680148396522;0.568936104415851;-0.0362146444872313;0.439832915690118;-0.0230230060375887;0.00845119225591486
stat_kurt;Statistics;(Excess) kurtosis;IPH6;0.102788299828288;0.89111433807979;0.125021013161992;0.94680056222602;0.0320114072696325;0.087476730109981;0.336750832395305;0.0524275851755824;0.289948930597558
stat_median;Statistics;Median;Y12H;60;59.444443;-1.22724421854346;95.11708;117.415964051478;0.011037393;32.584442;0.358508313889858;1.1608176125598
stat_min;Statistics;Minimum;1GSF;-163;-103.44444;-9.63985203039851;77.10333;0.337572206709286;-12.322135;-22.506712;-117.356511482316;-92.745442530185
stat_p10;Statistics;10th percentile;QG58;7;31;-3.31692220401148;86.3046279907227;44.3255414089819;-3.50101652145386;11.6361220359802;-35.8742511494777;-24.245858883447
stat_p90;Statistics;90th percentile;8DWT;110;84.4074096679688;0.336002886512782;105.62361907959;213.071089346455;3.48189473152161;58.1411083221436;35.9816570333073;28.5801530585389
stat_max;Statistics;Maximum;84IY;200;136.22223;3.81496107235225;142.88438;425.342058136143;11.722949;113.249275;115.112553544126;94.8401100462897
stat_iqr;Statistics;Interquartile range;SALO;54;27.1111106872559;2.13134473806699;9.94602584838867;90.2763732180779;3.6732574403286;24.0044622421265;38.0119677830991;27.7875881780156
stat_range;Statistics;Range;2OJQ;363;239.66667;13.4548131027508;65.78105;425.004485929433;24.045084;135.75598;232.469065026442;187.585552576475
stat_mad;Statistics;Mean absolute deviation;4FUA;32.26593;16.75221;1.17850496495279;5.9905925;52.3193129192361;2.1782331;14.402657;22.4463635499443;16.5643830593881
stat_rmad;Statistics;Robust mean absolute deviation;1128;22.690908;11.359625;0.862306479995968;4.146625;37.2769450000675;1.518927;9.97215;15.6913801768895;11.5015569468143
stat_medad;Statistics;Median absolute deviation;N72L;32.263584;16.726341;1.17154355742063;5.9758363;52.0574390758611;2.1782215;14.356131;22.446173745068;16.5602726524544
stat_cov;Statistics;Coefficient of variation;7TET;0.68747765;0.36957234;-1.02914953696253;0.07989094;0.522973638656943;1690.4307;0.5359481;113.347513087749;12.8186087175497
stat_qcod;Statistics;Quartile coefficient of dispersion;9S40;0.457627118644068;0.229611045783222;-0.773783287521028;0.0522764106559314;0.37594277222328;129.145016948087;0.360644891820802;54.3354379153167;8.82119587004799
stat_energy;Statistics;Energy;N8CA;270996480;204568500;213161.431202041;487350400;1038103076.29347;397070.88;78703850;42095659.7509821;23334626.3239694
stat_rms;Statistics;Root mean square;5ZWQ;71.5318795233985;62.1494353999431;2.00619029545254;95.9264726038545;140.003228442863;2.738115905009;38.5492377287335;28.1926871289076;20.9902802370651
