feature_tag;family;feature_name;ibsi_identifier;ID_1;ID_2;ID_3;ID_4;ID_5;ID_6;ID_7;ID_8;ID_9
stat_mean;Statistics;Mean;Q4LE;280.48834;280.63663;0.438412002841741;23.919;11.1796643649621;0.0002466255;3.6516685;0.0520389071929187;0.188216201099338
stat_var;Statistics;Variance;ECT3;1212.8948;1068.1987;2.86838818541436;354.59296;128.854028897385;0.13916704;17.24707;95.9754126328733;254.748500454507
stat_skew;Statistics;Skewness;KE2A;4.11005867115693;4.29730065284104;0.351976516178245;2.88432201750371;4.22020051407145;0.0732625739629075;3.91887578707714;0.528310939413726;-0.588363041288603
stat_kurt;Statistics;(Excess) kurtosis;IPH6;26.7845669328972;28.5762770754833;9.81573633403353;11.2055025667349;29.343368841284;31.2533305583204;23.0016128386861;25.0082998088135;12.8247395993457
stat_median;Statistics;Median;Y12H;274.83203;275.19205;0.258309938966561;17.151495;8.24811184463616;0.0006469193;2.3713684;-0.0146580514593548;0.180125996098131
stat_min;Statistics;Minimum;1GSF;122.51551;143.36761;-14.85744243741;7.272034;0.0102521168146139;-7.0839114;-3.8001328;-173.86343363296;-198.19341002747
stat_p10;Statistics;10th percentile;QG58;254.388900756836;256.383697509766;-0.868784759725333;10.8705453872681;3.0013379208754;-0.35781666636467;0.970891833305359;-8.13373795387507;-13.2465507782054
stat_p90;Statistics;90th percentile;8DWT;305.284545898438;303.84521484375;2.18370654664346;45.3941192626953;21.3628916273175;0.358389258384705;7.57095813751221;8.17450351238056;14.9316095534184
stat_max;Statistics;Maximum;84IY;712.53015;643.2621;16.614081319951;213.32433;191.005986883291;7.7003284;76.214775;215.820585919551;171.667878223855
stat_iqr;Statistics;Interquartile range;SALO;23.0602111816406;21.3010864257813;1.33336297545542;14.447566986084;8.0251429250064;0.350531384348869;2.53193700313568;7.33326862222319;12.0399000204554
stat_range;Statistics;Range;2OJQ;590.01465;499.89447;31.471523757361;206.05229;190.995734766476;14.78424;80.01491;389.68401955251;369.861288251325
stat_mad;Statistics;Mean absolute deviation;4FUA;19.575377;18.2252;1.07337721137592;12.5022135;6.80028812902883;0.2424205;2.4981642;5.85283732233531;9.81707348264694
stat_rmad;Statistics;Robust mean absolute deviation;1128;9.901893;9.175457;0.579442304226855;6.6396885;3.53172770403702;0.14746916;1.1868247;3.14306222667258;5.22982107207496
stat_medad;Statistics;Median absolute deviation;N72L;18.831993;17.468311;1.0594829676738;11.01832;6.25820157560669;0.24242017;2.1891513;5.85247811020124;9.81706999273514
stat_cov;Statistics;Coefficient of variation;7TET;0.1241643;0.116461314;3.86310512665837;0.78726697;1.0153604332535;1512.6212;1.1372772;188.257300170435;84.8005784337117
stat_qcod;Statistics;Quartile coefficient of dispersion;9S40;0.0418348778058958;0.0385998508196953;1.88192646074937;0.360909520163409;0.442889072719722;367.312009118873;0.455926133852233;-606.20240369696;35.6435822219046
stat_energy;Statistics;Energy;N8CA;48603087000;48565686000;1862068.00584837;563812350;154435855.328647;84669.414;18605962;58393184.6002799;155010795.236304
stat_rms;Statistics;Root mean square;5ZWQ;282.64217522045;282.533406259021;1.74945513507779;30.4419405490561;15.9323232521371;0.373051093685529;5.53007606806967;9.79684238317301;15.9619524430085
