family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,28.4531,28.4701,0.06671,52.3969,170.417,-6.5993e-05,15.8408,0.024521,-0.38929
Statistics,Variance,stat_var,ECT3,478.0648,112.4725,0.17794,98.5966,12451.0363,1.1554,96.1868,76.5887,63.7224
Statistics,Skewness,stat_skew,KE2A,-0.053087,0.13432,0.073829,-0.038205,1.0559,0.0018564,0.79978,0.03546,0.091197
Statistics,(Excess) kurtosis,stat_kurt,IPH6,0.23047,0.51471,0.55707,-0.8434,1.2687,0.68103,1.1039,0.23692,1.1646
Statistics,Median,stat_median,Y12H,29,28.4074,0.06244,52.6726,147.152,-0.00048287,14.5083,0.0030799,-0.32752
Statistics,Minimum,stat_min,1GSF,-78,-22.3704,-2.0932,29.0276,0.090875,-5.9855,-16.0736,-36.9693,-38.8635
Statistics,10th percentile,stat_p10,QG58,1,15.1852,-0.45579,38.4703,48.0364,-1.323,4.6391,-10.999,-10.3284
Statistics,90th percentile,stat_p90,8DWT,56,41.5926,0.59224,65.0341,326.3701,1.3332,28.8633,11.1289,9.2455
Statistics,Maximum,stat_max,84IY,131,84.963,2.2213,83.0253,863.3843,5.9145,83.4893,42.3402,50.2484
Statistics,Interquartile range,stat_iqr,SALO,29,13.5926,0.54503,15.6441,149.0896,1.3441,12.5816,11.433,10.5671
Statistics,Range,stat_range,2OJQ,209,107.3333,4.3145,53.9977,863.2934,11.9,99.5629,79.3095,89.1119
Statistics,Mean absolute deviation,stat_mad,4FUA,17.2599,8.2888,0.3305,8.4294,88.4691,0.83326,7.6674,6.905,6.2481
Statistics,Robust mean absolute deviation,stat_rmad,1128,12.0088,5.6585,0.22636,6.4669,62.0675,0.56181,5.2444,4.759,4.3415
Statistics,Median absolute deviation,stat_medad,N72L,17.2561,8.2885,0.33049,8.4272,86.5834,0.83326,7.5925,6.905,6.2479
Statistics,Coefficient of variation,stat_cov,7TET,0.76845,0.37251,6.3233,0.18951,0.65477,-16287.8295,0.61913,356.8931,-20.5054
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.50877,0.23971,4.2099,0.14892,0.46756,-667.289,0.41476,2594.3464,-15.1714
Statistics,Energy,stat_energy,N8CA,469466844,336525488.2373,66498.8207,1036914409.9552,15128057144.1266,421241.6345,126557127.317,27923924.3152,23288011.5964
Statistics,Root mean square,stat_rms,5ZWQ,35.8838,30.3812,0.42707,53.3295,203.6983,1.0749,18.6311,8.7515,7.9921
