family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,3.1425,3.1254,-0.040529,0.089037,0.0042902,-1.95e-08,0.00088143,0.010424,0.1356
Statistics,Variance,stat_var,ECT3,1.9287,1.8839,0.0016257,0.00040191,5.3065e-06,2.8962e-11,7.1227e-07,0.017933,0.14027
Statistics,Skewness,stat_skew,KE2A,0.26616,0.26064,-0.93999,0.081311,0.77233,-0.035552,1.4677,0.072183,1.0569
Statistics,(Excess) kurtosis,stat_kurt,IPH6,-0.71116,-0.72639,1.356,-0.50296,0.17207,5.1025,2.5029,0.13917,2.7263
Statistics,Median,stat_median,Y12H,2.9824,2.9697,-0.035365,0.088989,0.0038573,-9.8748e-09,0.00064331,0.0071747,0.093657
Statistics,Minimum,stat_min,1GSF,0.33229,0.34518,-0.21593,0.033703,3.1041e-05,-4.4477e-05,-0.0010667,-0.47369,-0.81589
Statistics,10th percentile,stat_p10,QG58,1.3762,1.3796,-0.090952,0.062532,0.0016552,-5.6847e-06,6.7386e-05,-0.15657,-0.27575
Statistics,90th percentile,stat_p90,8DWT,5.0756,5.0496,0.0063598,0.11617,0.0076344,5.5806e-06,0.0020407,0.18456,0.58074
Statistics,Maximum,stat_max,84IY,6.9044,6.7975,0.057557,0.14911,0.012617,4.2476e-05,0.0056582,0.55281,2.0824
Statistics,Interquartile range,stat_iqr,SALO,2.1297,2.1087,0.051253,0.028648,0.0030533,4.31e-06,0.00098613,0.17452,0.44502
Statistics,Range,stat_range,2OJQ,6.5721,6.4523,0.27348,0.11541,0.012586,8.6953e-05,0.0067249,1.0265,2.8983
Statistics,Mean absolute deviation,stat_mad,4FUA,1.16,1.1473,0.031176,0.016397,0.0018401,3.5494e-06,0.00064327,0.10568,0.28205
Statistics,Robust mean absolute deviation,stat_rmad,1128,0.86918,0.86054,0.021174,0.011943,0.0012809,1.9252e-06,0.00042129,0.072717,0.18656
Statistics,Median absolute deviation,stat_medad,N72L,1.1535,1.1409,0.030891,0.016397,0.0018066,3.5494e-06,0.00061422,0.10564,0.27999
Statistics,Coefficient of variation,stat_cov,7TET,0.44192,0.43916,-0.99484,0.22516,0.53694,-275.9794,0.95749,12.846,2.7621
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.34012,0.33846,-0.69074,0.16164,0.37051,-122.1115,0.64124,8.3049,2.0298
Statistics,Energy,stat_energy,N8CA,395036.9212,389948.2929,109.3754,278.7527,0.79357,9.6925e-07,0.049837,603.7723,5309.7193
Statistics,Root mean square,stat_rms,5ZWQ,3.4357,3.4135,0.057169,0.091266,0.0048696,5.3817e-06,0.0012203,0.13432,0.39832
