family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
Statistics,Mean,stat_mean,Q4LE,281.8447,282.0207,0.04279,63.6453,105.7806,0.00040908,7.7686,-0.67591,0.18504
Statistics,Variance,stat_var,ECT3,3718.7322,2908.8993,10.4642,1881.9416,9608.7183,2.1278,52.0543,1013.6476,1875.8433
Statistics,Skewness,stat_skew,KE2A,3.3346,3.2833,-0.7991,1.8046,3.0316,0.019767,2.7269,-0.11696,-0.11345
Statistics,(Excess) kurtosis,stat_kurt,IPH6,14.2974,13.5241,8.4086,3.6763,14.8751,5.8494,13.796,7.2158,5.3118
Statistics,Median,stat_median,Y12H,264.7753,265.732,0.19149,46.0358,77.6754,0.0013165,5.5839,-0.26263,-0.084573
Statistics,Minimum,stat_min,1GSF,63.9843,130.048,-28.527,19.6934,0.2271,-14.835,-9.6654,-258.9035,-328.6581
Statistics,10th percentile,stat_p10,QG58,242.1558,247.7404,-2.7437,28.4583,28.1307,-1.5312,1.9236,-29.7635,-41.0785
Statistics,90th percentile,stat_p90,8DWT,338.6986,335.3133,2.7632,125.163,214.8272,1.5355,16.3936,28.1727,44.6334
Statistics,Maximum,stat_max,84IY,878.3754,810.8517,22.1908,371.8737,1297.1521,15.0269,162.5301,306.5675,314.5399
Statistics,Interquartile range,stat_iqr,SALO,32.2515,27.963,1.6026,48.7285,80.3532,1.4584,6.3878,21.4737,35.0101
Statistics,Range,stat_range,2OJQ,814.3912,680.8037,50.7177,352.1804,1296.925,29.8619,172.1955,565.471,643.198
Statistics,Mean absolute deviation,stat_mad,4FUA,36.3042,32.6952,1.8532,32.9659,64.6674,1.018,4.9435,19.5829,28.4491
Statistics,Robust mean absolute deviation,stat_rmad,1128,15.4395,14.0112,0.78236,21.3223,35.971,0.61745,2.8417,9.6776,15.3057
Statistics,Median absolute deviation,stat_medad,N72L,31.8696,28.2042,1.8444,29.9191,59.6572,1.018,4.5661,19.5781,28.4479
Statistics,Coefficient of variation,stat_cov,7TET,0.21637,0.19124,75.599,0.68161,0.92667,3565.7592,0.92872,-47.1038,234.0659
Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.060183,0.05203,4.462,0.42576,0.45929,-870.6789,0.48939,-49.6508,-21.3589
Statistics,Energy,stat_energy,N8CA,41412110542.136,41058228658.0532,5212210.141,2954528966.57,10357733361.0866,1059656.7869,55978971.0514,505034180.4736,934205780.141
Statistics,Root mean square,stat_rms,5ZWQ,288.3664,287.1317,3.2351,77.0238,144.216,1.4587,10.6021,31.845,43.3114
